I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-68, 58, 126, 4, -97, 92, 234, 185, -29, -107, -107, -214, 
-68, 58, 126, 4, -97, 92, 234, 185, -29, -107, -107, -214, 
-68, 58, 126, 4, -97, 92, 234, 185, -29, -107, -107, -214, 
-68, 58, 126, 4, -97, 92, 234, 185, -29, -107, -107, -214, 
-78, 68, 146, 4, -112, 107, 234, 195, -19, -97, -102, -209, 
-78, 68, 146, 4, -112, 107, 234, 195, -19, -97, -97, -204, 
-78, 68, 146, 4, -112, 107, 234, 195, -19, -97, -92, -200, 
-78, 68, 146, 4, -112, 107, 234, 195, -19, -97, -87, -195, 
-78, 73, 151, 2, -114, 112, 244, 185, -29, -97, -87, -185, 
-78, 78, 156, 0, -117, 117, 244, 185, -29, -97, -87, -185, 
-78, 82, 161, -2, -119, 122, 244, 185, -29, -97, -87, -185, 
-78, 87, 165, -4, -122, 126, 244, 185, -29, -97, -87, -185, 
-68, 92, 161, -12, -114, 126, 244, 175, -34, -97, -78, -180, 
-68, 97, 165, -14, -117, 131, 244, 175, -39, -97, -78, -175, 
-68, 102, 170, -17, -119, 136, 244, 175, -43, -97, -78, -170, 
-68, 107, 175, -19, -122, 141, 244, 175, -48, -97, -78, -165, 
-58, 112, 170, -26, -114, 141, 234, 170, -58, -97, -68, -156, 
-58, 117, 175, -29, -117, 146, 234, 165, -58, -97, -68, -156, 
-58, 122, 180, -31, -119, 151, 234, 161, -58, -97, -68, -156, 
-58, 126, 185, -34, -122, 156, 234, 156, -58, -97, -68, -156, 
-58, 136, 195, -39, -126, 165, 229, 141, -68, -97, -58, -151, 
-58, 136, 195, -39, -126, 165, 224, 136, -68, -97, -58, -146, 
-58, 136, 195, -39, -126, 165, 219, 131, -68, -97, -58, -141, 
-58, 136, 195, -39, -126, 165, 214, 126, -68, -97, -58, -136, 
-48, 146, 195, -48, -122, 170, 200, 112, -78, -97, -48, -126, 
-48, 146, 195, -48, -122, 170, 195, 107, -78, -97, -48, -126, 
-48, 146, 195, -48, -122, 170, 190, 102, -78, -97, -48, -126, 
-48, 146, 195, -48, -122, 170, 185, 97, -78, -97, -48, -126, 
-39, 156, 195, -58, -117, 175, 165, 87, -78, -97, -39, -117, 
-39, 156, 195, -58, -117, 175, 156, 78, -78, -97, -39, -117, 
-39, 156, 195, -58, -117, 175, 146, 68, -78, -97, -39, -117, 
-39, 156, 195, -58, -117, 175, 136, 58, -78, -97, -39, -117, 
-29, 156, 185, -63, -107, 170, 117, 43, -87, -97, -29, -107, 
-29, 156, 185, -63, -107, 170, 107, 39, -87, -97, -29, -107, 
-29, 156, 185, -63, -107, 170, 97, 34, -87, -97, -29, -107, 
-29, 156, 185, -63, -107, 170, 87, 29, -87, -97, -29, -107, 
-24, 151, 175, -63, -100, 163, 68, 14, -87, -97, -39, -117, 
-19, 146, 165, -63, -92, 156, 58, 9, -87, -97, -39, -117, 
-14, 141, 156, -63, -85, 148, 48, 4, -87, -97, -39, -117, 
-9, 136, 146, -63, -78, 141, 39, 0, -87, -97, -39, -117, 
-9, 131, 141, -61, -75, 136, 24, -9, -97, -107, -48, -126, 
-9, 126, 136, -58, -73, 131, 19, -9, -97, -107, -48, -126, 
