I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, 9, 9, -4, -4, 9, -9, 19, -39, 19, -19, 58, 
-4, 4, 9, 0, -7, 7, -4, 29, -34, 19, -24, 48, 
-9, 0, 9, 4, -9, 4, 0, 39, -29, 19, -29, 39, 
-9, 0, 9, 4, -9, 4, 9, 39, -24, 19, -29, 39, 
-9, 0, 9, 4, -9, 4, 19, 39, -19, 19, -29, 39, 
-9, 0, 9, 4, -9, 4, 24, 39, -14, 24, -29, 39, 
-9, 0, 9, 4, -9, 4, 29, 39, -9, 29, -29, 39, 
-9, -4, 4, 7, -7, 0, 34, 43, -4, 34, -29, 39, 
-9, -9, 0, 9, -4, -4, 39, 48, 0, 39, -29, 39, 
-9, -9, 0, 9, -4, -4, 39, 48, 0, 39, -29, 39, 
-9, -9, 0, 9, -4, -4, 39, 48, 0, 39, -29, 39, 
-9, -9, 0, 9, -4, -4, 43, 48, 4, 43, -29, 39, 
-9, -9, 0, 9, -4, -4, 48, 48, 9, 48, -29, 39, 
-9, -4, 4, 7, -7, 0, 48, 48, 9, 48, -29, 39, 
-9, 0, 9, 4, -9, 4, 48, 48, 9, 48, -29, 39, 
-9, 0, 9, 4, -9, 4, 48, 53, 14, 48, -24, 39, 
-9, 0, 9, 4, -9, 4, 48, 58, 19, 48, -19, 39, 
-9, 0, 9, 4, -9, 4, 53, 58, 24, 48, -19, 34, 
-9, 0, 9, 4, -9, 4, 58, 58, 29, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 58, 58, 29, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 58, 58, 29, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 58, 58, 29, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 58, 58, 29, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 63, 63, 34, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 68, 68, 39, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 68, 68, 39, 48, -19, 29, 
-9, 0, 9, 4, -9, 4, 68, 68, 39, 48, -19, 29, 
-4, 0, 4, 2, -4, 2, 68, 73, 43, 48, -19, 29, 
0, 0, 0, 0, 0, 0, 68, 78, 48, 48, -19, 29, 
0, 4, 4, -2, -2, 4, 68, 78, 48, 48, -19, 29, 
0, 9, 9, -4, -4, 9, 68, 78, 48, 48, -19, 29, 
-4, 9, 14, -2, -9, 12, 73, 78, 48, 53, -19, 29, 
-9, 9, 19, 0, -14, 14, 78, 78, 48, 58, -19, 29, 
-9, 9, 19, 0, -14, 14, 78, 78, 48, 58, -19, 29, 
-9, 9, 19, 0, -14, 14, 78, 78, 48, 58, -19, 29, 
-4, 14, 19, -4, -12, 17, 78, 78, 53, 58, -19, 24, 
