I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
185, 400, 214, -292, -14, 307, 107, 683, 1015, 897, 517, 341, 
185, 400, 214, -292, -14, 307, 107, 683, 1015, 897, 517, 341, 
185, 400, 214, -292, -14, 307, 107, 683, 1015, 897, 517, 341, 
185, 400, 214, -292, -14, 307, 107, 683, 1015, 897, 517, 341, 
253, 522, 268, -387, -7, 395, -14, 649, 1137, 1088, 688, 478, 
322, 634, 312, -478, 4, 473, -126, 614, 1259, 1268, 849, 605, 
390, 746, 356, -568, 17, 551, -239, 580, 1381, 1449, 1010, 732, 
458, 858, 400, -658, 29, 629, -351, 546, 1503, 1629, 1171, 858, 
488, 878, 390, -683, 48, 634, -478, 409, 1449, 1644, 1195, 897, 
507, 897, 390, -702, 58, 644, -605, 283, 1405, 1649, 1220, 936, 
527, 917, 390, -722, 68, 653, -732, 156, 1361, 1654, 1244, 976, 
546, 936, 390, -741, 78, 663, -858, 29, 1317, 1659, 1268, 1015, 
483, 761, 278, -622, 102, 519, -873, -131, 1029, 1327, 1005, 849, 
419, 585, 165, -502, 126, 375, -878, -292, 751, 995, 751, 683, 
356, 409, 53, -383, 151, 231, -883, -453, 473, 663, 497, 517, 
292, 234, -58, -263, 175, 87, -888, -614, 195, 331, 244, 351, 
229, 151, -78, -190, 153, 36, -834, -692, 0, 141, 107, 244, 
175, 68, -107, -122, 141, -19, -790, -761, -185, -39, -29, 146, 
122, -14, -136, -53, 129, -75, -746, -829, -370, -219, -165, 48, 
68, -97, -165, 14, 117, -131, -702, -897, -556, -400, -302, -48, 
53, -117, -170, 31, 112, -143, -624, -785, -488, -356, -302, -78, 
39, -126, -165, 43, 102, -146, -556, -683, -419, -322, -302, -97, 
24, -136, -161, 56, 92, -148, -488, -580, -351, -287, -302, -117, 
9, -146, -156, 68, 82, -151, -419, -478, -283, -253, -302, -136, 
0, -136, -136, 68, 68, -136, -346, -380, -219, -204, -273, -146, 
-9, -126, -117, 68, 53, -122, -283, -292, -156, -165, -253, -146, 
-19, -117, -97, 68, 39, -107, -219, -204, -92, -126, -234, -146, 
-29, -107, -78, 68, 24, -92, -156, -117, -29, -87, -214, -146, 
-34, -97, -63, 65, 14, -80, -131, -87, 0, -78, -204, -151, 
-39, -97, -58, 68, 9, -78, -107, -58, 19, -68, -204, -156, 
-43, -97, -53, 70, 4, -75, -82, -29, 39, -58, -204, -161, 
-48, -97, -48, 73, 0, -73, -58, 0, 58, -48, -204, -165, 
-58, -107, -48, 82, -4, -78, -43, 14, 68, -48, -214, -175, 
-58, -107, -48, 82, -4, -78, -39, 19, 68, -48, -214, -175, 
-58, -107, -48, 82, -4, -78, -34, 24, 68, -48, -214, -175, 
-58, -107, -48, 82, -4, -78, -29, 29, 68, -48, -214, -175, 
-68, -117, -48, 92, -9, -82, -19, 39, 68, -58, -214, -180, 
-68, -117, -48, 92, -9, -82, -19, 39, 68, -58, -214, -185, 
-68, -117, -48, 92, -9, -82, -19, 39, 68, -58, -214, -190, 
-68, -117, -48, 92, -9, -82, -19, 39, 68, -58, -214, -195, 
-68, -117, -48, 92, -9, -82, -14, 53, 73, -48, -204, -195, 
-68, -117, -48, 92, -9, -82, -9, 58, 78, -48, -204, -195, 
-68, -117, -48, 92, -9, -82, -4, 63, 82, -48, -204, -195, 
-68, -117, -48, 92, -9, -82, 0, 68, 87, -48, -204, -195, 
-68, -117, -48, 92, -9, -82, 0, 73, 92, -39, -204, -195, 
-68, -117, -48, 92, -9, -82, 0, 78, 97, -39, -204, -195, 
-68, -117, -48, 92, -9, -82, 0, 82, 102, -39, -204, -195, 
-68, -117, -48, 92, -9, -82, 0, 87, 107, -39, -204, -195, 
-68, -117, -48, 92, -9, -82, 9, 97, 107, -29, -204, -204, 
-68, -117, -48, 92, -9, -82, 9, 97, 107, -29, -204, -204, 
-68, -117, -48, 92, -9, -82, 9, 97, 107, -29, -204, -204, 
-68, -117, -48, 92, -9, -82, 9, 97, 107, -29, -204, -204, 
-68, -117, -48, 92, -9, -82, 19, 107, 112, -19, -195, -204, 
-68, -117, -48, 92, -9, -82, 19, 107, 117, -19, -195, -204, 
-68, -117, -48, 92, -9, -82, 19, 107, 122, -19, -195, -204, 
-68, -117, -48, 92, -9, -82, 19, 107, 126, -19, -195, -204, 
-68, -117, -48, 92, -9, -82, 19, 107, 126, -29, -204, -214, 
-68, -117, -48, 92, -9, -82, 19, 107, 126, -29, -204, -214, 
-68, -117, -48, 92, -9, -82, 19, 107, 126, -29, -204, -214, 
-68, -117, -48, 92, -9, -82, 19, 107, 126, -29, -204, -214, 
-58, -117, -58, 87, 0, -87, 29, 122, 136, -29, -204, -214, 
-58, -117, -58, 87, 0, -87, 29, 126, 136, -29, -204, -214, 
-58, -117, -58, 87, 0, -87, 29, 131, 136, -29, -204, -214, 
-58, -117, -58, 87, 0, -87, 29, 136, 136, -29, -204, -214, 
-58, -107, -48, 82, -4, -78, 29, 146, 141, -19, -195, -214, 
-58, -107, -48, 82, -4, -78, 29, 146, 146, -19, -195, -214, 
-58, -107, -48, 82, -4, -78, 29, 146, 151, -19, -195, -214, 
-58, -107, -48, 82, -4, -78, 29, 146, 156, -19, -195, -214, 
-58, -107, -48, 82, -4, -78, 39, 151, 165, -14, -190, -214, 
-58, -107, -48, 82, -4, -78, 39, 156, 165, -9, -185, -214, 
-58, -107, -48, 82, -4, -78, 39, 161, 165, -4, -180, -214, 
-58, -107, -48, 82, -4, -78, 39, 165, 165, 0, -175, -214, 
-58, -107, -48, 82, -4, -78, 39, 175, 170, 0, -175, -214, 
-58, -107, -48, 82, -4, -78, 39, 175, 175, 0, -175, -214, 
-58, -107, -48, 82, -4, -78, 39, 175, 180, 0, -175, -214, 
-58, -107, -48, 82, -4, -78, 39, 175, 185, 0, -175, -214, 
-58, -107, -48, 82, -4, -78, 39, 180, 195, 9, -165, -214, 
-58, -107, -48, 82, -4, -78, 39, 185, 195, 9, -165, -214, 
-58, -107, -48, 82, -4, -78, 39, 190, 195, 9, -165, -214, 
-58, -107, -48, 82, -4, -78, 39, 195, 195, 9, -165, -214, 
-48, -97, -48, 73, 0, -73, 39, 204, 204, 9, -156, -214, 
-48, -97, -48, 73, 0, -73, 39, 204, 204, 9, -156, -214, 
-48, -97, -48, 73, 0, -73, 39, 204, 204, 9, -156, -214, 
-48, -97, -48, 73, 0, -73, 39, 204, 204, 9, -156, -214, 
-58, -87, -29, 73, -14, -58, 48, 209, 209, 19, -156, -204, 
-58, -87, -29, 73, -14, -58, 48, 214, 214, 19, -156, -204, 
-58, -87, -29, 73, -14, -58, 48, 219, 219, 19, -156, -204, 
-58, -87, -29, 73, -14, -58, 48, 224, 224, 19, -156, -204, 
-48, -87, -39, 68, -4, -63, 53, 229, 229, 24, -146, -195, 
-48, -87, -39, 68, -4, -63, 58, 234, 234, 29, -146, -195, 
-48, -87, -39, 68, -4, -63, 63, 239, 239, 34, -146, -195, 
-48, -87, -39, 68, -4, -63, 68, 244, 244, 39, -146, -195, 
-48, -78, -29, 63, -9, -53, 68, 258, 253, 48, -136, -195, 
-48, -78, -29, 63, -9, -53, 68, 263, 253, 48, -136, -195, 
-48, -78, -29, 63, -9, -53, 68, 268, 253, 48, -136, -195, 
-48, -78, -29, 63, -9, -53, 68, 273, 253, 48, -136, -195, 
-48, -73, -24, 61, -12, -48, 78, 283, 253, 48, -136, -204, 
-48, -68, -19, 58, -14, -43, 78, 283, 253, 48, -136, -204, 
-48, -63, -14, 56, -17, -39, 78, 283, 253, 48, -136, -204, 
-48, -58, -9, 53, -19, -34, 78, 283, 253, 48, -136, -204, 
-48, -53, -4, 51, -21, -29, 78, 287, 258, 58, -126, -204, 
-48, -48, 0, 48, -24, -24, 78, 292, 263, 58, -126, -204, 
-48, -43, 4, 46, -26, -19, 78, 297, 268, 58, -126, -204, 
-48, -39, 9, 43, -29, -14, 78, 302, 273, 58, -126, -204, 
-48, -39, 9, 43, -29, -14, 82, 312, 283, 63, -117, -195, 
-48, -39, 9, 43, -29, -14, 87, 322, 283, 68, -117, -195, 
-48, -39, 9, 43, -29, -14, 92, 331, 283, 73, -117, -195, 
-48, -39, 9, 43, -29, -14, 97, 341, 283, 78, -117, -195, 
-39, -34, 4, 36, -21, -14, 107, 346, 287, 87, -107, -195, 
-39, -29, 9, 34, -24, -9, 107, 351, 292, 87, -107, -195, 
-39, -24, 14, 31, -26, -4, 107, 356, 297, 87, -107, -195, 
-39, -19, 19, 29, -29, 0, 107, 361, 302, 87, -107, -195, 
-48, -9, 39, 29, -43, 14, 112, 375, 312, 97, -102, -185, 
-48, -9, 39, 29, -43, 14, 117, 380, 312, 97, -97, -185, 
-48, -9, 39, 29, -43, 14, 122, 385, 312, 97, -92, -185, 
-48, -9, 39, 29, -43, 14, 126, 390, 312, 97, -87, -185, 
-39, -4, 34, 21, -36, 14, 131, 395, 322, 107, -87, -175, 
-39, 0, 39, 19, -39, 19, 136, 400, 322, 107, -87, -175, 
-39, 4, 43, 17, -41, 24, 141, 405, 322, 107, -87, -175, 
-39, 9, 48, 14, -43, 29, 146, 409, 322, 107, -87, -175, 
-48, 14, 63, 17, -56, 39, 156, 419, 331, 107, -82, -165, 
-48, 19, 68, 14, -58, 43, 156, 419, 331, 107, -78, -165, 
-48, 24, 73, 12, -61, 48, 156, 419, 331, 107, -73, -165, 
-48, 29, 78, 9, -63, 53, 156, 419, 331, 107, -68, -165, 
-48, 43, 92, 2, -70, 68, 146, 429, 331, 117, -58, -156, 
-48, 48, 97, 0, -73, 73, 146, 429, 331, 117, -58, -156, 
-48, 53, 102, -2, -75, 78, 146, 429, 331, 117, -58, -156, 
-48, 58, 107, -4, -78, 82, 146, 429, 331, 117, -58, -156, 
-48, 63, 112, -7, -80, 87, 156, 419, 341, 126, -43, -151, 
-48, 68, 117, -9, -82, 92, 156, 419, 341, 126, -39, -146, 
-48, 73, 122, -12, -85, 97, 156, 419, 341, 126, -34, -141, 
-48, 78, 126, -14, -87, 102, 156, 419, 341, 126, -29, -136, 
-39, 82, 122, -21, -80, 102, 156, 414, 341, 126, -19, -126, 
-39, 87, 126, -24, -82, 107, 156, 409, 341, 126, -19, -126, 
-39, 92, 131, -26, -85, 112, 156, 405, 341, 126, -19, -126, 
-39, 97, 136, -29, -87, 117, 156, 400, 341, 126, -19, -126, 
-39, 102, 141, -31, -90, 122, 141, 385, 336, 136, -9, -122, 
-39, 107, 146, -34, -92, 126, 136, 380, 331, 136, -9, -117, 
-39, 112, 151, -36, -95, 131, 131, 375, 326, 136, -9, -112, 
-39, 117, 156, -39, -97, 136, 126, 370, 322, 136, -9, -107, 
-29, 122, 151, -46, -90, 136, 117, 356, 317, 136, -9, -107, 
-29, 126, 156, -48, -92, 141, 107, 341, 312, 136, -9, -107, 
-29, 131, 161, -51, -95, 146, 97, 326, 307, 136, -9, -107, 
-29, 136, 165, -53, -97, 151, 87, 312, 302, 136, -9, -107, 
-19, 146, 165, -63, -92, 156, 78, 292, 292, 136, -4, -102, 
-19, 146, 165, -63, -92, 156, 68, 283, 292, 136, 0, -97, 
-19, 146, 165, -63, -92, 156, 58, 273, 292, 136, 4, -92, 
-19, 146, 165, -63, -92, 156, 48, 263, 292, 136, 9, -87, 
-9, 136, 146, -63, -78, 141, 29, 244, 283, 146, 19, -82, 
-9, 136, 146, -63, -78, 141, 19, 234, 283, 146, 19, -78, 
-9, 136, 146, -63, -78, 141, 9, 224, 283, 146, 19, -73, 
-9, 136, 146, -63, -78, 141, 0, 214, 283, 146, 19, -68, 
0, 131, 131, -65, -65, 131, -14, 204, 278, 136, 9, -73, 
0, 126, 126, -63, -63, 126, -19, 195, 273, 136, 9, -78, 
0, 122, 122, -61, -61, 122, -24, 185, 268, 136, 9, -82, 
0, 117, 117, -58, -58, 117, -29, 175, 263, 136, 9, -87, 
-9, 107, 117, -48, -63, 112, -39, 165, 248, 126, 0, -97, 
-9, 97, 107, -43, -58, 102, -39, 156, 244, 117, -9, -107, 
-9, 87, 97, -39, -53, 92, -39, 146, 239, 107, -19, -117, 
-9, 78, 87, -34, -48, 82, -39, 136, 234, 97, -29, -126, 
-19, 68, 87, -24, -53, 78, -48, 122, 224, 92, -43, -136, 
