I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
58, 87, 29, -73, 14, 58, 58, 331, 370, 341, 273, 263, 
58, 87, 29, -73, 14, 58, 58, 331, 370, 341, 273, 263, 
58, 87, 29, -73, 14, 58, 58, 331, 370, 341, 273, 263, 
58, 87, 29, -73, 14, 58, 58, 331, 370, 341, 273, 263, 
68, 92, 24, -80, 21, 58, 43, 331, 370, 356, 287, 292, 
78, 97, 19, -87, 29, 58, 39, 331, 370, 361, 302, 312, 
87, 102, 14, -95, 36, 58, 34, 331, 370, 366, 317, 331, 
97, 107, 9, -102, 43, 58, 29, 331, 370, 370, 331, 351, 
102, 122, 19, -112, 41, 70, 19, 331, 370, 380, 346, 370, 
107, 126, 19, -117, 43, 73, 19, 331, 370, 380, 361, 390, 
112, 131, 19, -122, 46, 75, 19, 331, 370, 380, 375, 409, 
117, 136, 19, -126, 48, 78, 19, 331, 370, 380, 390, 429, 
126, 141, 14, -134, 56, 78, 4, 317, 366, 380, 400, 448, 
126, 146, 19, -136, 53, 82, 0, 312, 361, 380, 409, 458, 
126, 151, 24, -139, 51, 87, -4, 307, 356, 380, 419, 468, 
126, 156, 29, -141, 48, 92, -9, 302, 351, 380, 429, 478, 
126, 165, 39, -146, 43, 102, -19, 297, 341, 370, 434, 492, 
126, 165, 39, -146, 43, 102, -19, 292, 341, 370, 439, 497, 
126, 165, 39, -146, 43, 102, -19, 287, 341, 370, 444, 502, 
126, 165, 39, -146, 43, 102, -19, 283, 341, 370, 448, 507, 
136, 165, 29, -151, 53, 97, -24, 278, 331, 366, 458, 512, 
136, 165, 29, -151, 53, 97, -29, 273, 322, 361, 458, 517, 
136, 165, 29, -151, 53, 97, -34, 268, 312, 356, 458, 522, 
136, 165, 29, -151, 53, 97, -39, 263, 302, 351, 458, 527, 
141, 175, 34, -158, 53, 104, -48, 258, 292, 346, 458, 536, 
146, 175, 29, -161, 58, 102, -48, 253, 292, 341, 458, 536, 
151, 175, 24, -163, 63, 100, -48, 248, 292, 336, 458, 536, 
156, 175, 19, -165, 68, 97, -48, 244, 292, 331, 458, 536, 
