I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, -78, -68, 43, 29, -73, -146, 58, 175, -9, -87, -107, 
-9, -78, -68, 43, 29, -73, -146, 58, 175, -9, -87, -107, 
-9, -78, -68, 43, 29, -73, -146, 58, 175, -9, -87, -107, 
-9, -78, -68, 43, 29, -73, -146, 58, 175, -9, -87, -107, 
-19, -87, -68, 53, 24, -78, -151, 68, 185, 0, -87, -107, 
-29, -87, -58, 58, 14, -73, -156, 68, 185, 0, -87, -107, 
-39, -87, -48, 63, 4, -68, -161, 68, 185, 0, -87, -107, 
-48, -87, -39, 68, -4, -63, -165, 68, 185, 0, -87, -107, 
-58, -97, -39, 78, -9, -68, -156, 78, 200, 14, -78, -107, 
-68, -97, -29, 82, -19, -63, -156, 87, 204, 19, -78, -107, 
-78, -97, -19, 87, -29, -58, -156, 97, 209, 24, -78, -107, 
-87, -97, -9, 92, -39, -53, -156, 107, 214, 29, -78, -107, 
-68, -97, -29, 82, -19, -63, -170, 117, 214, 19, -78, -107, 
-58, -97, -39, 78, -9, -68, -175, 117, 214, 19, -78, -107, 
-48, -97, -48, 73, 0, -73, -180, 117, 214, 19, -78, -107, 
-39, -97, -58, 68, 9, -78, -185, 117, 214, 19, -78, -107, 
-24, -97, -73, 61, 24, -85, -195, 126, 214, 14, -92, -112, 
-19, -97, -78, 58, 29, -87, -195, 126, 214, 9, -97, -117, 
-14, -97, -82, 56, 34, -90, -195, 126, 214, 4, -102, -122, 
-9, -97, -87, 53, 39, -92, -195, 126, 214, 0, -107, -126, 
-29, -102, -73, 65, 21, -87, -185, 126, 224, 0, -122, -141, 
-39, -107, -68, 73, 14, -87, -185, 126, 224, 0, -126, -146, 
-48, -112, -63, 80, 7, -87, -185, 126, 224, 0, -131, -151, 
-58, -117, -58, 87, 0, -87, -185, 126, 224, 0, -136, -156, 
-53, -97, -43, 75, -4, -70, -180, 131, 224, 9, -136, -156, 
-48, -87, -39, 68, -4, -63, -175, 136, 224, 9, -136, -156, 
-43, -78, -34, 61, -4, -56, -170, 141, 224, 9, -136, -156, 
-39, -68, -29, 53, -4, -48, -165, 146, 224, 9, -136, -156, 
-39, -82, -43, 61, 2, -63, -161, 156, 229, 9, -136, -156, 
-39, -97, -58, 68, 9, -78, -156, 156, 234, 9, -136, -156, 
-39, -112, -73, 75, 17, -92, -151, 156, 239, 9, -136, -156, 
