I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, -19, 0, 19, -9, -9, -39, -87, -58, 146, 58, 68, 
-24, -19, 4, 21, -14, -7, -39, -87, -58, 141, 58, 68, 
-29, -19, 9, 24, -19, -4, -39, -87, -58, 136, 58, 68, 
-29, -19, 9, 24, -19, -4, -39, -87, -58, 136, 58, 63, 
-29, -19, 9, 24, -19, -4, -39, -87, -58, 136, 58, 58, 
-29, -19, 9, 24, -19, -4, -39, -87, -58, 136, 58, 58, 
-29, -19, 9, 24, -19, -4, -39, -87, -58, 136, 58, 58, 
-29, -24, 4, 26, -17, -9, -39, -87, -58, 131, 58, 58, 
-29, -29, 0, 29, -14, -14, -39, -87, -58, 126, 58, 58, 
-29, -29, 0, 29, -14, -14, -39, -87, -58, 122, 58, 58, 
-29, -29, 0, 29, -14, -14, -39, -87, -58, 117, 58, 58, 
-29, -29, 0, 29, -14, -14, -34, -87, -58, 117, 58, 58, 
-29, -29, 0, 29, -14, -14, -29, -87, -58, 117, 58, 58, 
-24, -19, 4, 21, -14, -7, -29, -82, -53, 117, 58, 58, 
-19, -9, 9, 14, -14, 0, -29, -78, -48, 117, 58, 58, 
-19, 4, 24, 7, -21, 14, -9, -63, -34, 126, 68, 68, 
-14, 19, 34, -2, -24, 26, 4, -48, -24, 131, 78, 73, 
-14, 39, 53, -12, -34, 46, 19, -39, -14, 136, 87, 82, 
-14, 53, 68, -19, -41, 61, 24, -39, -9, 141, 87, 87, 
-4, 63, 68, -29, -36, 65, 24, -34, -9, 141, 92, 87, 
-4, 63, 68, -29, -36, 65, 39, -29, -4, 136, 92, 87, 
-4, 73, 78, -34, -41, 75, 63, -14, 0, 141, 92, 87, 
-4, 78, 82, -36, -43, 80, 82, -14, 9, 151, 102, 92, 
0, 78, 78, -39, -39, 78, 78, -14, 9, 151, 102, 92, 
4, 78, 73, -41, -34, 75, 53, -19, 9, 151, 107, 87, 
19, 78, 58, -48, -19, 68, 14, -24, 9, 151, 107, 92, 
43, 87, 43, -65, 0, 65, -19, -29, 9, 146, 122, 107, 
82, 102, 19, -92, 31, 61, -24, -29, 24, 161, 136, 131, 
