I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, -136, -136, 68, 68, -136, 39, 146, -165, -48, -68, -156, 
0, -161, -161, 80, 80, -161, 48, 165, -156, -58, -73, -165, 
0, -185, -185, 92, 92, -185, 58, 185, -146, -68, -78, -175, 
4, -200, -204, 97, 104, -202, 68, 209, -126, -58, -78, -180, 
9, -214, -224, 102, 117, -219, 78, 234, -107, -48, -78, -185, 
9, -224, -234, 107, 122, -229, 82, 244, -97, -48, -73, -190, 
9, -234, -244, 112, 126, -239, 87, 253, -87, -48, -68, -195, 
9, -244, -253, 117, 131, -248, 92, 268, -73, -43, -63, -195, 
9, -253, -263, 122, 136, -258, 97, 283, -58, -39, -58, -195, 
19, -258, -278, 119, 148, -268, 97, 292, -48, -39, -58, -200, 
29, -263, -292, 117, 161, -278, 97, 302, -39, -39, -58, -204, 
29, -268, -297, 119, 163, -283, 102, 312, -24, -34, -53, -204, 
29, -273, -302, 122, 165, -287, 107, 322, -9, -29, -48, -204, 
34, -283, -317, 124, 175, -300, 107, 336, 0, -24, -48, -204, 
39, -292, -331, 126, 185, -312, 107, 351, 9, -19, -48, -204, 
43, -302, -346, 129, 195, -324, 112, 366, 24, -14, -48, -204, 
48, -312, -361, 131, 204, -336, 117, 380, 39, -9, -48, -204, 
53, -326, -380, 136, 217, -353, 122, 400, 58, -4, -43, -204, 
58, -341, -400, 141, 229, -370, 126, 419, 78, 0, -39, -204, 
63, -351, -414, 143, 239, -383, 131, 439, 87, 4, -34, -204, 
68, -361, -429, 146, 248, -395, 136, 458, 97, 9, -29, -204, 
78, -375, -453, 148, 265, -414, 141, 478, 112, 14, -24, -209, 
87, -390, -478, 151, 283, -434, 146, 497, 126, 19, -19, -214, 
92, -405, -497, 156, 295, -451, 156, 517, 141, 24, -19, -219, 
97, -419, -517, 161, 307, -468, 165, 536, 156, 29, -19, -224, 
102, -439, -541, 168, 322, -490, 165, 566, 175, 39, -14, -224, 
107, -458, -566, 175, 336, -512, 165, 595, 195, 48, -9, -224, 
117, -478, -595, 180, 356, -536, 180, 624, 224, 58, 0, -229, 
126, -497, -624, 185, 375, -561, 195, 653, 253, 68, 9, -234, 
136, -517, -653, 190, 395, -585, 204, 683, 273, 73, 24, -234, 
146, -536, -683, 195, 414, -610, 214, 712, 292, 78, 39, -234, 
156, -556, -712, 200, 434, -634, 229, 751, 326, 87, 48, -234, 
165, -575, -741, 204, 453, -658, 244, 790, 361, 97, 58, -234, 
165, -595, -761, 214, 463, -678, 258, 824, 385, 112, 63, -234, 
165, -614, -780, 224, 473, -697, 273, 858, 409, 126, 68, -234, 
180, -634, -814, 226, 497, -724, 287, 902, 439, 146, 82, -234, 
195, -653, -849, 229, 522, -751, 302, 946, 468, 165, 97, -234, 
200, -663, -863, 231, 531, -763, 317, 980, 502, 180, 107, -234, 
204, -673, -878, 234, 541, -775, 331, 1015, 536, 195, 117, -234, 
209, -683, -893, 236, 551, -788, 346, 1049, 566, 214, 126, -224, 
214, -692, -907, 239, 561, -800, 361, 1083, 595, 234, 136, -214, 
214, -692, -907, 239, 561, -800, 375, 1102, 619, 248, 151, -204, 
214, -692, -907, 239, 561, -800, 390, 1122, 644, 263, 165, -195, 
214, -688, -902, 236, 558, -795, 400, 1132, 658, 278, 180, -190, 
214, -683, -897, 234, 556, -790, 409, 1141, 673, 292, 195, -185, 
204, -668, -873, 231, 539, -771, 409, 1132, 673, 297, 204, -175, 
195, -653, -849, 229, 522, -751, 409, 1122, 673, 302, 214, -165, 
185, -619, -805, 217, 495, -712, 409, 1088, 663, 302, 214, -156, 
175, -585, -761, 204, 468, -673, 409, 1054, 653, 302, 214, -146, 
161, -556, -717, 197, 439, -636, 395, 1005, 624, 297, 214, -141, 
146, -527, -673, 190, 409, -600, 380, 956, 595, 292, 214, -136, 
136, -488, -624, 175, 380, -556, 361, 888, 541, 273, 200, -136, 
126, -448, -575, 161, 351, -512, 341, 819, 488, 253, 185, -136, 
102, -409, -512, 153, 307, -461, 317, 746, 434, 229, 170, -141, 
78, -370, -448, 146, 263, -409, 292, 673, 380, 204, 156, -146, 
63, -331, -395, 134, 229, -363, 263, 595, 312, 170, 131, -151, 
48, -292, -341, 122, 195, -317, 234, 517, 244, 136, 107, -156, 
34, -263, -297, 114, 165, -280, 209, 444, 185, 112, 92, -161, 
19, -234, -253, 107, 136, -244, 185, 370, 126, 87, 78, -165, 
9, -204, -214, 97, 112, -209, 165, 307, 73, 58, 58, -175, 
0, -175, -175, 87, 87, -175, 146, 244, 19, 29, 39, -185, 
-14, -161, -146, 87, 65, -153, 126, 200, -24, 9, 24, -195, 
-29, -146, -117, 87, 43, -131, 107, 156, -68, -9, 9, -204, 
-29, -126, -97, 78, 34, -112, 97, 117, -97, -24, -4, -204, 
-29, -107, -78, 68, 24, -92, 87, 78, -126, -39, -19, -204, 
-29, -92, -63, 61, 17, -78, 78, 58, -146, -43, -24, -204, 
-29, -78, -48, 53, 9, -63, 68, 39, -165, -48, -29, -204, 
-29, -68, -39, 48, 4, -53, 68, 29, -175, -48, -29, -204, 
-29, -58, -29, 43, 0, -43, 68, 19, -185, -48, -29, -204, 
-29, -53, -24, 41, -2, -39, 68, 19, -185, -48, -24, -204, 
-29, -48, -19, 39, -4, -34, 68, 19, -185, -48, -19, -204, 
-29, -39, -9, 34, -9, -24, 73, 19, -185, -48, -14, -200, 
-29, -29, 0, 29, -14, -14, 78, 19, -185, -48, -9, -195, 
-19, -19, 0, 19, -9, -9, 82, 29, -175, -39, 0, -190, 
-9, -9, 0, 9, -4, -4, 87, 39, -165, -29, 9, -185, 
0, -9, -9, 4, 4, -9, 87, 43, -151, -19, 19, -180, 
9, -9, -19, 0, 14, -14, 87, 48, -136, -9, 29, -175, 
14, -9, -24, -2, 19, -17, 87, 63, -126, 0, 34, -165, 
19, -9, -29, -4, 24, -19, 87, 78, -117, 9, 39, -156, 
29, 0, -29, -14, 29, -14, 78, 82, -107, 14, 48, -151, 
34, 4, -29, -19, 31, -12, 58, 73, -107, 14, 48, -146, 
39, 14, -24, -26, 31, -4, 39, 68, -112, 14, 48, -146, 
39, 14, -24, -26, 31, -4, 19, 43, -131, 4, 43, -151, 
39, 4, -34, -21, 36, -14, 9, 24, -151, -9, 29, -161, 
39, -4, -43, -17, 41, -24, 0, 9, -161, -19, 24, -170, 
34, -4, -39, -14, 36, -21, 14, 19, -146, -14, 29, -170, 
34, -9, -43, -12, 39, -26, 14, 24, -141, -9, 34, -170, 
29, -19, -48, -4, 39, -34, 14, 14, -146, -9, 34, -170, 
29, -24, -53, -2, 41, -39, 9, 4, -151, -9, 29, -170, 
34, -19, -53, -7, 43, -36, 9, 14, -141, -4, 34, -165, 
29, -14, -43, -7, 36, -29, 14, 14, -141, -4, 34, -161, 
29, -14, -43, -7, 36, -29, 14, 19, -141, 0, 34, -161, 
14, -24, -39, 4, 26, -31, 24, 4, -156, 0, 24, -170, 
-19, -48, -29, 34, 4, -39, 29, -9, -175, -19, 4, -185, 
-43, -73, -29, 58, -7, -51, 34, -14, -180, -24, 0, -200, 
-58, -78, -19, 68, -19, -48, 34, -19, -185, -34, -14, -209, 
-63, -87, -24, 75, -19, -56, 34, -24, -195, -39, -24, -214, 
-63, -87, -24, 75, -19, -56, 34, -29, -204, -48, -24, -219, 
-68, -87, -19, 78, -24, -53, 34, -39, -214, -48, -29, -224, 
-73, -97, -24, 85, -24, -61, 39, -39, -214, -53, -34, -224, 
-73, -97, -24, 85, -24, -61, 39, -43, -214, -53, -39, -224, 
-63, -97, -34, 80, -14, -65, 39, -53, -229, -53, -39, -224, 
-68, -97, -29, 82, -19, -63, 39, -53, -234, -53, -39, -229, 
-73, -97, -24, 85, -24, -61, 34, -63, -239, -58, -39, -234, 
-82, -97, -14, 90, -34, -56, 29, -78, -244, -58, -48, -244, 
-87, -97, -9, 92, -39, -53, 34, -78, -244, -63, -53, -244, 
-87, -102, -14, 95, -36, -58, 34, -78, -244, -63, -53, -244, 
-87, -102, -14, 95, -36, -58, 34, -82, -253, -73, -53, -244, 
-87, -102, -14, 95, -36, -58, 34, -82, -253, -73, -53, -244, 
-92, -102, -9, 97, -41, -56, 29, -82, -253, -73, -58, -244, 
-92, -102, -9, 97, -41, -56, 29, -87, -253, -73, -58, -248, 
-92, -102, -9, 97, -41, -56, 29, -87, -258, -73, -58, -253, 
-92, -102, -9, 97, -41, -56, 29, -87, -258, -73, -58, -258, 
-87, -102, -14, 95, -36, -58, 34, -87, -253, -73, -63, -263, 
-87, -102, -14, 95, -36, -58, 34, -92, -253, -73, -63, -263, 
-87, -112, -24, 100, -31, -68, 34, -92, -253, -78, -58, -263, 
-87, -117, -29, 102, -29, -73, 34, -92, -253, -78, -58, -263, 
