I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-195, 1590, 1786, -697, -990, 1688, -527, -1532, -1044, 117, 810, 1356, 
-195, 1590, 1786, -697, -990, 1688, -527, -1532, -1044, 117, 810, 1356, 
-195, 1590, 1786, -697, -990, 1688, -527, -1532, -1044, 117, 810, 1356, 
-195, 1590, 1786, -697, -990, 1688, -527, -1532, -1044, 117, 810, 1356, 
-185, 1439, 1625, -627, -905, 1532, -448, -1385, -1005, -14, 624, 1185, 
-185, 1288, 1473, -551, -829, 1381, -370, -1239, -976, -146, 439, 1015, 
-185, 1137, 1322, -475, -753, 1229, -292, -1093, -946, -278, 253, 844, 
-185, 985, 1171, -400, -678, 1078, -214, -946, -917, -409, 68, 673, 
-151, 854, 1005, -351, -578, 929, -126, -736, -761, -351, 53, 595, 
-126, 732, 858, -302, -492, 795, -48, -536, -614, -292, 39, 517, 
-102, 610, 712, -253, -407, 661, 29, -336, -468, -234, 24, 439, 
-78, 488, 566, -204, -322, 527, 107, -136, -322, -175, 9, 361, 
-43, 429, 473, -192, -258, 451, 136, -24, -229, -107, 48, 336, 
-9, 380, 390, -185, -200, 385, 165, 87, -136, -48, 78, 322, 
24, 331, 307, -178, -141, 319, 195, 200, -43, 9, 107, 307, 
58, 283, 224, -170, -82, 253, 224, 312, 48, 68, 136, 292, 
68, 263, 195, -165, -63, 229, 239, 336, 73, 82, 146, 287, 
68, 253, 185, -161, -58, 219, 244, 361, 87, 87, 146, 283, 
68, 244, 175, -156, -53, 209, 248, 385, 102, 92, 146, 278, 
68, 234, 165, -151, -48, 200, 253, 409, 117, 97, 146, 273, 
82, 219, 136, -151, -26, 178, 253, 429, 122, 107, 136, 268, 
87, 214, 126, -151, -19, 170, 253, 439, 126, 107, 136, 263, 
92, 209, 117, -151, -12, 163, 253, 448, 131, 107, 136, 258, 
97, 204, 107, -151, -4, 156, 253, 458, 136, 107, 136, 253, 
112, 190, 78, -151, 17, 134, 253, 468, 146, 97, 126, 239, 
117, 185, 68, -151, 24, 126, 253, 478, 146, 97, 126, 234, 
122, 180, 58, -151, 31, 119, 253, 488, 146, 97, 126, 229, 
126, 175, 48, -151, 39, 112, 253, 497, 146, 97, 126, 224, 
141, 151, 9, -146, 65, 80, 253, 517, 151, 97, 117, 219, 
146, 136, -9, -141, 78, 63, 253, 536, 156, 97, 117, 214, 
151, 122, -29, -136, 90, 46, 253, 556, 161, 97, 117, 209, 
156, 107, -48, -131, 102, 29, 253, 575, 165, 97, 117, 204, 
151, 78, -73, -114, 112, 2, 258, 590, 175, 87, 102, 190, 
146, 58, -87, -102, 117, -14, 263, 605, 175, 78, 97, 175, 
141, 39, -102, -90, 122, -31, 268, 619, 175, 68, 92, 161, 
136, 19, -117, -78, 126, -48, 273, 634, 175, 58, 87, 146, 
131, -4, -136, -63, 134, -70, 283, 658, 185, 58, 82, 131, 
126, -19, -146, -53, 136, -82, 292, 673, 185, 58, 78, 126, 
122, -34, -156, -43, 139, -95, 302, 688, 185, 58, 73, 122, 
117, -48, -165, -34, 141, -107, 312, 702, 185, 58, 68, 117, 
131, -63, -195, -34, 163, -129, 317, 727, 195, 58, 68, 112, 
136, -78, -214, -29, 175, -146, 322, 751, 204, 58, 68, 107, 
141, -92, -234, -24, 187, -163, 326, 775, 214, 58, 68, 102, 
146, -107, -253, -19, 200, -180, 331, 800, 224, 58, 68, 97, 
156, -117, -273, -19, 214, -195, 341, 824, 239, 63, 68, 87, 
165, -126, -292, -19, 229, -209, 341, 849, 253, 68, 68, 87, 
175, -136, -312, -19, 244, -224, 341, 873, 268, 73, 68, 87, 
185, -146, -331, -19, 258, -239, 341, 897, 283, 78, 68, 87, 
190, -161, -351, -14, 270, -256, 346, 932, 297, 82, 82, 87, 
195, -175, -370, -9, 283, -273, 351, 956, 312, 87, 87, 87, 
200, -190, -390, -4, 295, -290, 356, 980, 326, 92, 92, 87, 
204, -204, -409, 0, 307, -307, 361, 1005, 341, 97, 97, 87, 
214, -224, -439, 4, 326, -331, 366, 1044, 366, 112, 102, 78, 
224, -234, -458, 4, 341, -346, 370, 1073, 380, 117, 107, 78, 
234, -244, -478, 4, 356, -361, 375, 1102, 395, 122, 112, 78, 
244, -253, -497, 4, 370, -375, 380, 1132, 409, 126, 117, 78, 
253, -263, -517, 4, 385, -390, 395, 1166, 424, 141, 131, 68, 
263, -273, -536, 4, 400, -405, 400, 1190, 439, 146, 136, 68, 
273, -283, -556, 4, 414, -419, 405, 1215, 453, 151, 141, 68, 
283, -292, -575, 4, 429, -434, 409, 1239, 468, 156, 146, 68, 
297, -297, -595, 0, 446, -446, 419, 1263, 492, 170, 161, 78, 
302, -302, -605, 0, 453, -453, 419, 1288, 507, 175, 165, 78, 
307, -307, -614, 0, 461, -461, 419, 1312, 522, 180, 170, 78, 
307, -312, -619, 2, 463, -466, 419, 1332, 536, 185, 170, 73, 
312, -317, -629, 2, 470, -473, 419, 1342, 546, 204, 185, 78, 
322, -297, -619, -12, 470, -458, 424, 1346, 556, 209, 195, 82, 
326, -297, -624, -14, 475, -461, 429, 1351, 566, 219, 219, 107, 
336, -287, -624, -24, 480, -456, 429, 1351, 575, 229, 229, 122, 
341, -287, -629, -26, 485, -458, 424, 1342, 590, 239, 239, 141, 
341, -283, -624, -29, 483, -453, 419, 1342, 585, 248, 244, 151, 
341, -273, -614, -34, 478, -444, 414, 1327, 590, 258, 253, 165, 
336, -258, -595, -39, 466, -427, 409, 1312, 595, 268, 258, 175, 
341, -244, -585, -48, 463, -414, 414, 1288, 600, 268, 278, 185, 
336, -219, -556, -58, 446, -387, 409, 1268, 595, 268, 287, 195, 
336, -200, -536, -68, 436, -368, 405, 1234, 595, 268, 297, 214, 
326, -185, -512, -70, 419, -348, 395, 1200, 590, 268, 302, 229, 
307, -161, -468, -73, 387, -314, 390, 1166, 585, 278, 317, 253, 
302, -141, -444, -80, 373, -292, 385, 1122, 575, 287, 322, 268, 
292, -122, -414, -85, 353, -268, 385, 1083, 556, 302, 336, 283, 
283, -102, -385, -90, 334, -244, 375, 1044, 556, 312, 346, 297, 
263, -68, -331, -97, 297, -200, 356, 990, 527, 302, 336, 312, 
253, -34, -287, -109, 270, -161, 351, 936, 507, 302, 336, 322, 
239, -4, -244, -117, 241, -124, 336, 883, 483, 302, 341, 336, 
224, 14, -209, -119, 217, -97, 331, 839, 463, 292, 346, 341, 
209, 39, -170, -124, 190, -65, 331, 795, 444, 292, 356, 356, 
190, 58, -131, -124, 161, -36, 322, 751, 424, 287, 356, 366, 
185, 82, -102, -134, 143, -9, 317, 702, 414, 283, 356, 375, 
170, 102, -68, -136, 119, 17, 307, 658, 395, 283, 356, 385, 
161, 117, -43, -139, 102, 36, 287, 610, 361, 268, 341, 385, 
151, 126, -24, -139, 87, 51, 287, 580, 341, 248, 331, 390, 
136, 136, 0, -136, 68, 68, 283, 551, 317, 239, 326, 390, 
126, 146, 19, -136, 53, 82, 278, 527, 302, 229, 322, 385, 
117, 156, 39, -136, 39, 97, 263, 492, 268, 209, 297, 385, 
102, 156, 53, -129, 24, 104, 258, 468, 248, 200, 283, 385, 
92, 161, 68, -126, 12, 114, 258, 444, 234, 185, 268, 380, 
82, 165, 82, -124, 0, 124, 258, 429, 224, 175, 263, 380, 
78, 170, 92, -124, -7, 131, 258, 414, 219, 165, 253, 375, 
73, 170, 97, -122, -12, 134, 258, 400, 209, 165, 248, 370, 
68, 170, 102, -119, -17, 136, 258, 395, 204, 156, 244, 370, 
68, 170, 102, -119, -17, 136, 258, 385, 200, 146, 239, 370, 
73, 170, 97, -122, -12, 134, 258, 375, 180, 131, 229, 356, 
68, 170, 102, -119, -17, 136, 263, 370, 180, 126, 224, 356, 
68, 170, 102, -119, -17, 136, 268, 370, 175, 122, 219, 356, 
68, 170, 102, -119, -17, 136, 273, 366, 165, 122, 214, 351, 
58, 156, 97, -107, -19, 126, 263, 351, 151, 112, 204, 346, 
48, 151, 102, -100, -26, 126, 263, 341, 146, 107, 200, 331, 
34, 146, 112, -90, -39, 129, 263, 336, 146, 102, 195, 326, 
24, 141, 117, -82, -46, 129, 263, 336, 141, 92, 190, 322, 
24, 141, 117, -82, -46, 129, 253, 336, 131, 82, 185, 312, 
24, 136, 112, -80, -43, 124, 253, 336, 131, 82, 180, 312, 
19, 131, 112, -75, -46, 122, 253, 336, 131, 82, 175, 312, 
19, 126, 107, -73, -43, 117, 253, 336, 131, 82, 165, 312, 
9, 117, 107, -63, -48, 112, 263, 336, 136, 92, 175, 322, 
9, 117, 107, -63, -48, 112, 263, 341, 136, 92, 180, 322, 
9, 126, 117, -68, -53, 122, 263, 346, 146, 92, 180, 322, 
9, 126, 117, -68, -53, 122, 263, 351, 146, 102, 190, 331, 
19, 136, 117, -78, -48, 126, 258, 356, 170, 117, 204, 326, 
19, 136, 117, -78, -48, 126, 268, 361, 180, 122, 209, 326, 
14, 131, 117, -73, -51, 124, 268, 370, 180, 122, 204, 331, 
24, 146, 122, -85, -48, 134, 268, 390, 180, 126, 209, 336, 
24, 156, 131, -90, -53, 143, 273, 405, 190, 131, 224, 336, 
34, 151, 117, -92, -41, 134, 287, 439, 224, 156, 244, 351, 
29, 146, 117, -87, -43, 131, 292, 473, 248, 180, 268, 375, 
39, 156, 117, -97, -39, 136, 292, 512, 278, 200, 273, 375, 
43, 175, 131, -109, -43, 153, 297, 566, 312, 224, 297, 375, 
53, 190, 136, -122, -41, 163, 312, 629, 356, 248, 317, 385, 
63, 219, 156, -141, -46, 187, 336, 688, 380, 278, 346, 409, 
58, 258, 200, -158, -70, 229, 356, 707, 429, 322, 375, 434, 
53, 297, 244, -175, -95, 270, 375, 717, 473, 375, 419, 478, 
48, 356, 307, -202, -129, 331, 385, 712, 527, 429, 473, 517, 
48, 424, 375, -236, -163, 400, 380, 697, 566, 478, 527, 566, 
39, 488, 448, -263, -204, 468, 370, 663, 595, 522, 556, 610, 
24, 531, 507, -278, -241, 519, 370, 614, 619, 551, 605, 644, 
14, 585, 570, -300, -278, 578, 361, 561, 649, 605, 653, 692, 
4, 663, 658, -334, -326, 661, 346, 473, 668, 658, 707, 756, 
-9, 736, 746, -363, -378, 741, 317, 336, 658, 678, 741, 805, 
-14, 785, 800, -385, -407, 793, 292, 175, 624, 697, 771, 849, 
-43, 834, 878, -395, -461, 856, 258, -29, 575, 692, 771, 878, 
-73, 878, 951, -402, -512, 915, 204, -273, 492, 668, 771, 902, 
-97, 922, 1019, -412, -558, 971, 136, -517, 385, 629, 771, 912, 
-112, 980, 1093, -434, -602, 1037, 68, -746, 283, 600, 766, 946, 
-122, 1015, 1137, -446, -629, 1076, -4, -927, 200, 580, 780, 976, 
-146, 1054, 1200, -453, -673, 1127, -39, -1044, 151, 585, 785, 1005, 
-161, 1088, 1249, -463, -705, 1168, -48, -1122, 122, 590, 805, 1044, 
-180, 1137, 1317, -478, -749, 1227, -48, -1185, 112, 610, 829, 1078, 
-204, 1180, 1385, -488, -795, 1283, -34, -1224, 126, 639, 868, 1112, 
-229, 1234, 1464, -502, -846, 1349, -29, -1244, 156, 692, 907, 1141, 
-253, 1302, 1556, -524, -905, 1429, -29, -1288, 156, 732, 951, 1171, 
-287, 1346, 1634, -529, -961, 1490, -48, -1332, 117, 761, 976, 1180, 
-326, 1376, 1703, -524, -1015, 1539, -53, -1390, 58, 761, 976, 1190, 
-336, 1420, 1756, -541, -1046, 1588, -78, -1434, 4, 751, 971, 1215, 
-346, 1459, 1805, -556, -1076, 1632, -126, -1483, -82, 736, 976, 1249, 
-356, 1493, 1849, -568, -1102, 1671, -200, -1546, -214, 683, 961, 1263, 
-346, 1537, 1883, -595, -1115, 1710, -278, -1620, -356, 614, 951, 1273, 
-351, 1590, 1942, -619, -1146, 1766, -341, -1678, -444, 590, 976, 1307, 
-370, 1639, 2010, -634, -1190, 1825, -395, -1732, -527, 561, 976, 1327, 
-380, 1688, 2069, -653, -1224, 1878, -448, -1786, -653, 527, 971, 1332, 
-361, 1708, 2069, -673, -1215, 1888, -522, -1805, -766, 473, 966, 1351, 
-317, 1664, 1981, -673, -1149, 1822, -580, -1781, -873, 405, 956, 1371, 
-278, 1605, 1883, -663, -1080, 1744, -614, -1732, -932, 341, 956, 1400, 
-248, 1576, 1825, -663, -1037, 1700, -624, -1634, -936, 331, 990, 1424, 
-204, 1542, 1747, -668, -976, 1644, -634, -1537, -917, 317, 1024, 1434, 
-175, 1434, 1610, -629, -893, 1522, -614, -1444, -941, 229, 976, 1395, 
-161, 1288, 1449, -563, -805, 1368, -566, -1366, -1015, 39, 790, 1273, 
-170, 1127, 1298, -478, -734, 1212, -517, -1278, -1063, -190, 551, 1107, 
-175, 976, 1151, -400, -663, 1063, -434, -1141, -1029, -356, 326, 907, 
-175, 819, 995, -322, -585, 907, -336, -976, -946, -434, 136, 727, 
-165, 678, 844, -256, -505, 761, -239, -785, -824, -453, 14, 566, 
-156, 507, 663, -175, -409, 585, -136, -566, -683, -434, -58, 434, 
-141, 302, 444, -80, -292, 373, -19, -326, -512, -385, -92, 312, 
-112, 175, 287, -31, -200, 231, 73, -102, -351, -307, -73, 234, 
-78, 112, 190, -17, -134, 151, 126, 53, -209, -209, -24, 209, 
-34, 53, 87, -9, -61, 70, 151, 185, -102, -131, 24, 204, 
-9, 0, 9, 4, -9, 4, 175, 263, -34, -82, 48, 200, 
0, -29, -29, 14, 14, -29, 195, 322, 24, -48, 63, 190, 
9, -29, -39, 9, 24, -34, 214, 361, 48, -9, 82, 195, 
0, -34, -34, 17, 17, -34, 229, 385, 68, -14, 82, 180, 
-4, -43, -39, 24, 17, -41, 244, 400, 68, -9, 78, 170, 
-4, -53, -48, 29, 21, -51, 253, 419, 73, -9, 68, 165, 
-4, -63, -58, 34, 26, -61, 253, 434, 73, -14, 68, 165, 
9, -73, -82, 31, 46, -78, 253, 448, 87, -19, 63, 161, 
14, -82, -97, 34, 56, -90, 258, 463, 92, -24, 58, 151, 
19, -87, -107, 34, 63, -97, 263, 473, 102, -29, 53, 136, 
19, -97, -117, 39, 68, -107, 268, 483, 112, -34, 43, 126, 
14, -107, -122, 46, 68, -114, 258, 502, 117, -29, 53, 102, 
14, -122, -136, 53, 75, -129, 268, 507, 122, -29, 48, 102, 
14, -126, -141, 56, 78, -134, 273, 517, 126, -24, 43, 102, 
14, -136, -151, 61, 82, -143, 273, 536, 131, -19, 43, 102, 
14, -146, -161, 65, 87, -153, 283, 556, 136, -9, 43, 102, 
24, -151, -175, 63, 100, -163, 283, 570, 146, -9, 43, 97, 
29, -156, -185, 63, 107, -170, 283, 590, 156, -9, 43, 92, 
34, -161, -195, 63, 114, -178, 292, 600, 161, -9, 43, 87, 
34, -156, -190, 61, 112, -173, 292, 610, 170, -19, 34, 82, 
34, -165, -200, 65, 117, -183, 292, 624, 180, -14, 29, 68, 
39, -175, -214, 68, 126, -195, 292, 644, 185, -14, 29, 58, 
48, -190, -239, 70, 143, -214, 287, 663, 195, -14, 24, 53, 
48, -200, -248, 75, 148, -224, 287, 688, 209, 0, 24, 63, 
53, -204, -258, 75, 156, -231, 297, 707, 219, 0, 29, 58, 
53, -214, -268, 80, 161, -241, 297, 732, 229, 0, 29, 53, 
58, -219, -278, 80, 168, -248, 302, 756, 239, 4, 29, 48, 
68, -219, -287, 75, 178, -253, 297, 775, 253, 9, 34, 53, 
73, -229, -302, 78, 187, -265, 302, 795, 263, 9, 34, 48, 
78, -239, -317, 80, 197, -278, 302, 814, 287, 14, 39, 43, 
82, -244, -326, 80, 204, -285, 307, 834, 302, 19, 39, 43, 
92, -263, -356, 85, 224, -309, 322, 858, 312, 24, 48, 48, 
107, -278, -385, 85, 246, -331, 326, 888, 331, 24, 48, 39, 
112, -292, -405, 90, 258, -348, 336, 912, 341, 34, 48, 39, 
117, -312, -429, 97, 273, -370, 341, 946, 356, 39, 53, 39, 
126, -317, -444, 95, 285, -380, 341, 971, 370, 43, 58, 34, 
136, -317, -453, 90, 295, -385, 346, 1000, 385, 48, 58, 29, 
146, -326, -473, 90, 309, -400, 341, 1015, 405, 53, 63, 24, 
156, -341, -497, 92, 326, -419, 336, 1039, 419, 58, 68, 14, 
165, -341, -507, 87, 336, -424, 346, 1068, 434, 63, 78, 19, 
175, -370, -546, 97, 361, -458, 351, 1107, 458, 92, 92, 34, 
175, -375, -551, 100, 363, -463, 356, 1127, 468, 102, 92, 29, 
190, -380, -570, 95, 380, -475, 351, 1156, 483, 102, 87, 24, 
200, -400, -600, 100, 400, -500, 356, 1176, 497, 107, 92, 24, 
209, -405, -614, 97, 412, -509, 366, 1195, 517, 117, 97, 24, 
219, -414, -634, 97, 427, -524, 375, 1215, 531, 122, 107, 24, 
229, -414, -644, 92, 436, -529, 380, 1224, 541, 126, 117, 14, 
234, -424, -658, 95, 446, -541, 380, 1249, 546, 136, 122, 19, 
239, -424, -663, 92, 451, -544, 380, 1259, 551, 131, 126, 19, 
263, -439, -702, 87, 483, -570, 390, 1288, 605, 175, 185, 58, 
263, -439, -702, 87, 483, -570, 380, 1293, 605, 165, 175, 48, 
263, -439, -702, 87, 483, -570, 380, 1298, 605, 165, 175, 48, 
263, -439, -702, 87, 483, -570, 380, 1302, 605, 165, 175, 48, 
263, -439, -702, 87, 483, -570, 380, 1307, 605, 165, 175, 48, 
263, -448, -712, 92, 488, -580, 390, 1307, 619, 175, 180, 58, 
263, -439, -702, 87, 483, -570, 385, 1302, 624, 190, 190, 63, 
268, -414, -683, 73, 475, -549, 385, 1302, 629, 200, 204, 68, 
268, -409, -678, 70, 473, -544, 385, 1302, 634, 214, 234, 92, 
268, -395, -663, 63, 466, -529, 380, 1283, 639, 209, 234, 92, 
268, -380, -649, 56, 458, -514, 366, 1249, 639, 214, 239, 102, 
263, -370, -634, 53, 448, -502, 361, 1234, 629, 219, 239, 112, 
258, -356, -614, 48, 436, -485, 356, 1205, 629, 224, 244, 126, 
244, -336, -580, 46, 412, -458, 361, 1161, 624, 229, 248, 126, 
