I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, 9, 29, 4, -24, 19, 0, -19, -175, -48, -165, -58, 
-19, 4, 24, 7, -21, 14, 4, -19, -175, -53, -175, -63, 
-19, 0, 19, 9, -19, 9, 9, -19, -175, -58, -185, -68, 
-19, -4, 14, 12, -17, 4, 9, -24, -180, -63, -190, -73, 
-19, -9, 9, 14, -14, 0, 9, -29, -185, -68, -195, -78, 
-24, -14, 9, 19, -17, -2, 14, -29, -185, -68, -204, -82, 
-29, -19, 9, 24, -19, -4, 19, -29, -185, -68, -214, -87, 
-29, -19, 9, 24, -19, -4, 19, -29, -185, -73, -219, -87, 
-29, -19, 9, 24, -19, -4, 19, -29, -185, -78, -224, -87, 
-29, -19, 9, 24, -19, -4, 29, -29, -185, -78, -224, -87, 
-29, -19, 9, 24, -19, -4, 39, -29, -185, -78, -224, -87, 
-24, -9, 14, 17, -19, 2, 48, 0, -161, -63, -214, -78, 
-19, 0, 19, 9, -19, 9, 58, 29, -136, -48, -204, -68, 
-9, 24, 34, -7, -21, 29, 68, 68, -92, -4, -165, -39, 
0, 48, 48, -24, -24, 48, 78, 107, -48, 39, -126, -9, 
9, 87, 78, -48, -34, 82, 82, 136, -14, 73, -92, 24, 
19, 126, 107, -73, -43, 117, 87, 165, 19, 107, -58, 58, 
9, 185, 175, -97, -82, 180, 112, 200, 58, 151, -14, 97, 
0, 244, 244, -122, -122, 244, 136, 234, 97, 195, 29, 136, 
-29, 351, 380, -161, -204, 366, 170, 175, 78, 209, 53, 185, 
-58, 458, 517, -200, -287, 488, 204, 117, 58, 224, 78, 234, 
-107, 570, 678, -231, -392, 624, 214, -92, -43, 195, 63, 263, 
-156, 683, 839, -263, -497, 761, 224, -302, -146, 165, 48, 292, 
-219, 780, 1000, -280, -610, 890, 244, -551, -268, 112, 14, 292, 
-283, 878, 1161, -297, -722, 1019, 263, -800, -390, 58, -19, 292, 
-331, 956, 1288, -312, -810, 1122, 297, -1000, -488, 34, -43, 287, 
-380, 1034, 1415, -326, -897, 1224, 331, -1200, -585, 9, -68, 283, 
-400, 1132, 1532, -366, -966, 1332, 292, -1390, -712, -39, -102, 283, 
-419, 1229, 1649, -405, -1034, 1439, 253, -1581, -839, -87, -136, 283, 
-390, 1342, 1732, -475, -1061, 1537, 58, -1727, -951, -122, -141, 302, 
-361, 1454, 1815, -546, -1088, 1634, -136, -1873, -1063, -156, -146, 322, 
-307, 1537, 1844, -614, -1076, 1690, -336, -1971, -1161, -175, -146, 361, 
-253, 1620, 1873, -683, -1063, 1747, -536, -2069, -1259, -195, -146, 400, 
-204, 1644, 1849, -719, -1027, 1747, -653, -2054, -1278, -180, -112, 453, 
-156, 1668, 1825, -756, -990, 1747, -771, -2039, -1298, -165, -78, 507, 
-117, 1668, 1786, -775, -951, 1727, -780, -1937, -1259, -136, -34, 556, 
-78, 1668, 1747, -795, -912, 1708, -790, -1834, -1220, -107, 9, 605, 
-39, 1717, 1756, -839, -897, 1737, -790, -1756, -1190, -97, 48, 653, 
0, 1766, 1766, -883, -883, 1766, -790, -1678, -1161, -87, 87, 702, 
29, 1698, 1668, -863, -819, 1683, -717, -1507, -1068, -63, 122, 702, 
58, 1629, 1571, -844, -756, 1600, -644, -1337, -976, -39, 156, 702, 
68, 1385, 1317, -727, -624, 1351, -492, -1024, -766, 14, 170, 624, 
78, 1141, 1063, -610, -492, 1102, -341, -712, -556, 68, 185, 546, 
78, 834, 756, -456, -339, 795, -195, -468, -400, 53, 97, 380, 
78, 527, 448, -302, -185, 488, -48, -224, -244, 39, 9, 214, 
58, 283, 224, -170, -82, 253, 53, -48, -136, 48, -29, 107, 
39, 39, 0, -39, 19, 19, 156, 126, -29, 58, -68, 0, 
34, -4, -39, -14, 36, -21, 175, 156, -9, 58, -82, -24, 
29, -48, -78, 9, 53, -63, 195, 185, 9, 58, -97, -48, 
29, -78, -107, 24, 68, -92, 209, 209, 24, 48, -97, -58, 
29, -107, -136, 39, 82, -122, 224, 234, 39, 39, -97, -68, 
34, -117, -151, 41, 92, -134, 239, 258, 58, 48, -97, -73, 
39, -126, -165, 43, 102, -146, 253, 283, 78, 58, -97, -78, 
39, -136, -175, 48, 107, -156, 258, 292, 87, 58, -102, -78, 
39, -146, -185, 53, 112, -165, 263, 302, 97, 58, -107, -78, 
43, -156, -200, 56, 122, -178, 273, 322, 107, 68, -107, -78, 
48, -165, -214, 58, 131, -190, 283, 341, 117, 78, -107, -78, 
53, -170, -224, 58, 139, -197, 283, 351, 131, 78, -102, -78, 
58, -175, -234, 58, 146, -204, 283, 361, 146, 78, -97, -78, 
