I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-263, -302, -39, 283, -112, -170, 722, 517, 97, -448, -634, -556, 
-263, -302, -39, 283, -112, -170, 722, 517, 97, -448, -634, -556, 
-263, -302, -39, 283, -112, -170, 722, 517, 97, -448, -634, -556, 
-263, -302, -39, 283, -112, -170, 722, 517, 97, -448, -634, -556, 
-239, -287, -48, 263, -95, -168, 751, 585, 165, -395, -575, -512, 
-224, -283, -58, 253, -82, -170, 780, 644, 224, -341, -527, -468, 
-209, -278, -68, 244, -70, -173, 810, 702, 283, -287, -478, -424, 
-195, -273, -78, 234, -58, -175, 839, 761, 341, -234, -429, -380, 
-180, -253, -73, 217, -53, -163, 834, 717, 292, -244, -409, -351, 
-165, -244, -78, 204, -43, -161, 829, 673, 253, -244, -390, -331, 
-151, -234, -82, 192, -34, -158, 824, 629, 214, -244, -370, -312, 
-136, -224, -87, 180, -24, -156, 819, 585, 175, -244, -351, -292, 
-136, -219, -82, 178, -26, -151, 775, 478, 87, -278, -336, -278, 
-136, -214, -78, 175, -29, -146, 732, 380, 9, -302, -331, -263, 
-136, -209, -73, 173, -31, -141, 688, 283, -68, -326, -326, -248, 
-136, -204, -68, 170, -34, -136, 644, 185, -146, -351, -322, -234, 
-117, -190, -73, 153, -21, -131, 551, 107, -195, -366, -307, -224, 
-107, -175, -68, 141, -19, -122, 468, 39, -244, -370, -302, -214, 
-97, -161, -63, 129, -17, -112, 385, -29, -292, -375, -297, -204, 
-87, -146, -58, 117, -14, -102, 302, -97, -341, -380, -292, -195, 
-58, -131, -73, 95, 7, -102, 229, -112, -351, -366, -258, -161, 
-39, -117, -78, 78, 19, -97, 165, -126, -361, -351, -234, -136, 
-19, -102, -82, 61, 31, -92, 102, -141, -370, -336, -209, -112, 
0, -87, -87, 43, 43, -87, 39, -156, -380, -322, -185, -87, 
9, -97, -107, 43, 58, -102, 24, -146, -361, -302, -165, -68, 
19, -97, -117, 39, 68, -107, 9, -136, -351, -292, -156, -58, 
29, -97, -126, 34, 78, -112, -4, -126, -341, -283, -146, -48, 
39, -97, -136, 29, 87, -117, -19, -117, -331, -273, -136, -39, 
58, -97, -156, 19, 107, -126, -39, -117, -322, -268, -122, -34, 
68, -97, -165, 14, 117, -131, -48, -117, -322, -263, -117, -29, 
78, -97, -175, 9, 126, -136, -58, -117, -322, -258, -112, -24, 
87, -97, -185, 4, 136, -141, -68, -117, -322, -253, -107, -19, 
97, -92, -190, -2, 143, -141, -82, -122, -331, -248, -107, -9, 
97, -87, -185, -4, 141, -136, -87, -126, -331, -244, -107, -9, 
97, -82, -180, -7, 139, -131, -92, -131, -331, -239, -107, -9, 
97, -78, -175, -9, 136, -126, -97, -136, -331, -234, -107, -9, 
97, -92, -190, -2, 143, -141, -107, -126, -331, -234, -97, 4, 
97, -97, -195, 0, 146, -146, -107, -126, -331, -234, -87, 9, 
97, -102, -200, 2, 148, -151, -107, -126, -331, -234, -78, 14, 
97, -107, -204, 4, 151, -156, -107, -126, -331, -234, -68, 19, 
107, -97, -204, -4, 156, -151, -117, -126, -331, -229, -58, 24, 
107, -97, -204, -4, 156, -151, -117, -126, -331, -224, -58, 29, 
107, -97, -204, -4, 156, -151, -117, -126, -331, -219, -58, 34, 
107, -97, -204, -4, 156, -151, -117, -126, -331, -214, -58, 39, 
122, -102, -224, -9, 173, -163, -126, -131, -346, -219, -63, 29, 
126, -107, -234, -9, 180, -170, -136, -136, -351, -224, -68, 29, 
131, -112, -244, -9, 187, -178, -146, -141, -356, -229, -73, 29, 
136, -117, -253, -9, 195, -185, -156, -146, -361, -234, -78, 29, 
131, -117, -248, -7, 190, -183, -146, -146, -351, -224, -73, 34, 
126, -117, -244, -4, 185, -180, -146, -146, -351, -224, -68, 39, 
122, -117, -239, -2, 180, -178, -146, -146, -351, -224, -63, 43, 
117, -117, -234, 0, 175, -175, -146, -146, -351, -224, -58, 48, 
122, -126, -248, 2, 185, -187, -156, -136, -351, -214, -43, 58, 
126, -126, -253, 0, 190, -190, -156, -136, -351, -214, -39, 68, 
131, -126, -258, -2, 195, -192, -156, -136, -351, -214, -34, 78, 
136, -126, -263, -4, 200, -195, -156, -136, -351, -214, -29, 87, 
156, -117, -273, -19, 214, -195, -161, -146, -361, -214, -19, 97, 
165, -117, -283, -24, 224, -200, -165, -146, -361, -214, -19, 97, 
175, -117, -292, -29, 234, -204, -170, -146, -361, -214, -19, 97, 
185, -117, -302, -34, 244, -209, -175, -146, -361, -214, -19, 97, 
195, -117, -312, -39, 253, -214, -185, -136, -361, -204, -9, 107, 
195, -117, -312, -39, 253, -214, -185, -136, -361, -204, -9, 107, 
195, -117, -312, -39, 253, -214, -185, -136, -361, -204, -9, 107, 
195, -117, -312, -39, 253, -214, -185, -136, -361, -204, -9, 107, 
195, -126, -322, -34, 258, -224, -190, -146, -370, -204, 4, 117, 
195, -136, -331, -29, 263, -234, -195, -146, -370, -204, 9, 126, 
195, -146, -341, -24, 268, -244, -200, -146, -370, -204, 14, 136, 
195, -156, -351, -19, 273, -253, -204, -146, -370, -204, 19, 146, 
204, -151, -356, -26, 280, -253, -209, -156, -380, -195, 34, 156, 
214, -146, -361, -34, 287, -253, -214, -156, -380, -195, 39, 165, 
224, -141, -366, -41, 295, -253, -219, -156, -380, -195, 43, 175, 
234, -136, -370, -48, 302, -253, -224, -156, -380, -195, 48, 185, 
244, -136, -380, -53, 312, -258, -234, -165, -390, -195, 53, 195, 
253, -136, -390, -58, 322, -263, -234, -165, -390, -195, 58, 204, 
263, -136, -400, -63, 331, -268, -234, -165, -390, -195, 63, 214, 
273, -136, -409, -68, 341, -273, -234, -165, -390, -195, 68, 224, 
283, -141, -424, -70, 353, -283, -244, -175, -395, -204, 73, 239, 
283, -146, -429, -68, 356, -287, -253, -175, -400, -204, 78, 244, 
283, -151, -434, -65, 358, -292, -263, -175, -405, -204, 82, 248, 
283, -156, -439, -63, 361, -297, -273, -175, -409, -204, 87, 253, 
297, -146, -444, -75, 370, -295, -287, -185, -419, -195, 92, 268, 
302, -146, -448, -78, 375, -297, -292, -185, -419, -195, 97, 273, 
307, -146, -453, -80, 380, -300, -297, -185, -419, -195, 102, 278, 
312, -146, -458, -82, 385, -302, -302, -185, -419, -195, 107, 283, 
317, -146, -463, -85, 390, -305, -317, -190, -424, -200, 117, 297, 
322, -146, -468, -87, 395, -307, -322, -195, -429, -204, 117, 302, 
326, -146, -473, -90, 400, -309, -326, -200, -434, -209, 117, 307, 
331, -146, -478, -92, 405, -312, -331, -204, -439, -214, 117, 312, 
351, -146, -497, -102, 424, -322, -351, -209, -448, -224, 131, 326, 
361, -146, -507, -107, 434, -326, -361, -214, -458, -224, 136, 341, 
370, -146, -517, -112, 444, -331, -370, -219, -468, -224, 141, 356, 
380, -146, -527, -117, 453, -336, -380, -224, -478, -224, 146, 370, 
385, -146, -531, -119, 458, -339, -385, -239, -492, -214, 156, 385, 
390, -146, -536, -122, 463, -341, -390, -244, -497, -214, 165, 390, 
395, -146, -541, -124, 468, -344, -395, -248, -502, -214, 175, 395, 
400, -146, -546, -126, 473, -346, -400, -253, -507, -214, 185, 400, 
414, -141, -556, -136, 485, -348, -414, -263, -517, -214, 190, 414, 
419, -136, -556, -141, 488, -346, -429, -273, -527, -214, 195, 419, 
424, -131, -556, -146, 490, -344, -444, -283, -536, -214, 200, 424, 
429, -126, -556, -151, 492, -341, -458, -292, -546, -214, 204, 429, 
439, -126, -566, -156, 502, -346, -468, -302, -551, -224, 219, 448, 
439, -126, -566, -156, 502, -346, -478, -302, -556, -224, 224, 458, 
439, -126, -566, -156, 502, -346, -488, -302, -561, -224, 229, 468, 
439, -126, -566, -156, 502, -346, -497, -302, -566, -224, 234, 478, 
444, -122, -566, -161, 505, -344, -512, -312, -575, -234, 239, 483, 
448, -117, -566, -165, 507, -341, -517, -322, -585, -234, 244, 488, 
453, -112, -566, -170, 509, -339, -522, -331, -595, -234, 248, 492, 
458, -107, -566, -175, 512, -336, -527, -341, -605, -234, 253, 497, 
468, -102, -570, -183, 519, -336, -541, -356, -610, -224, 268, 512, 
468, -97, -566, -185, 517, -331, -546, -361, -614, -224, 273, 517, 
468, -92, -561, -187, 514, -326, -551, -366, -619, -224, 278, 522, 
468, -87, -556, -190, 512, -322, -556, -370, -624, -224, 283, 527, 
483, -78, -561, -202, 522, -319, -561, -380, -624, -219, 297, 541, 
488, -68, -556, -209, 522, -312, -566, -380, -624, -214, 302, 546, 
492, -58, -551, -217, 522, -305, -570, -380, -624, -209, 307, 551, 
497, -48, -546, -224, 522, -297, -575, -380, -624, -204, 312, 556, 
483, -43, -527, -219, 505, -285, -590, -390, -624, -190, 317, 546, 
478, -39, -517, -219, 497, -278, -595, -390, -624, -185, 322, 546, 
473, -34, -507, -219, 490, -270, -600, -390, -624, -180, 326, 546, 
468, -29, -497, -219, 483, -263, -605, -390, -624, -175, 331, 546, 
453, -19, -473, -217, 463, -246, -595, -390, -619, -156, 351, 561, 
448, -9, -458, -219, 453, -234, -595, -390, -614, -146, 361, 566, 
444, 0, -444, -222, 444, -222, -595, -390, -610, -136, 370, 570, 
439, 9, -429, -224, 434, -209, -595, -390, -605, -126, 380, 575, 
424, 24, -400, -224, 412, -187, -585, -380, -595, -112, 395, 585, 
419, 29, -390, -224, 405, -180, -585, -380, -585, -97, 400, 585, 
414, 34, -380, -224, 397, -173, -585, -380, -575, -82, 405, 585, 
409, 39, -370, -224, 390, -165, -585, -380, -566, -68, 409, 585, 
405, 53, -351, -229, 378, -148, -570, -375, -546, -58, 409, 566, 
400, 58, -341, -229, 370, -141, -566, -370, -536, -48, 409, 556, 
395, 63, -331, -229, 363, -134, -561, -366, -527, -39, 409, 546, 
390, 68, -322, -229, 356, -126, -556, -361, -517, -29, 409, 536, 
370, 78, -292, -224, 331, -107, -536, -341, -492, -14, 405, 527, 
361, 87, -273, -224, 317, -92, -527, -331, -478, 0, 400, 517, 
351, 97, -253, -224, 302, -78, -517, -322, -463, 14, 395, 507, 
341, 107, -234, -224, 287, -63, -507, -312, -448, 29, 390, 497, 
322, 102, -219, -212, 270, -58, -497, -307, -439, 19, 375, 468, 
312, 97, -214, -204, 263, -58, -488, -302, -429, 19, 361, 448, 
302, 92, -209, -197, 256, -58, -478, -297, -419, 19, 346, 429, 
292, 87, -204, -190, 248, -58, -468, -292, -409, 19, 331, 409, 
283, 92, -190, -187, 236, -48, -444, -278, -390, 24, 317, 395, 
273, 97, -175, -185, 224, -39, -429, -263, -370, 29, 302, 380, 
263, 102, -161, -183, 212, -29, -414, -248, -351, 34, 287, 366, 
253, 107, -146, -180, 200, -19, -400, -234, -331, 39, 273, 351, 
244, 107, -136, -175, 190, -14, -375, -219, -317, 29, 258, 322, 
234, 107, -126, -170, 180, -9, -361, -214, -312, 29, 244, 302, 
224, 107, -117, -165, 170, -4, -346, -209, -307, 29, 229, 283, 
214, 107, -107, -161, 161, 0, -331, -204, -302, 29, 214, 263, 
204, 92, -112, -148, 158, -9, -317, -185, -287, 19, 200, 244, 
195, 87, -107, -141, 151, -9, -302, -175, -273, 19, 185, 234, 
185, 82, -102, -134, 143, -9, -287, -165, -258, 19, 170, 224, 
175, 78, -97, -126, 136, -9, -273, -156, -244, 19, 156, 214, 
156, 68, -87, -112, 122, -9, -258, -146, -229, 9, 131, 190, 
146, 58, -87, -102, 117, -14, -244, -136, -224, 9, 117, 175, 
136, 48, -87, -92, 112, -19, -229, -126, -219, 9, 102, 161, 
126, 39, -87, -82, 107, -24, -214, -117, -214, 9, 87, 146, 
117, 48, -68, -82, 92, -9, -200, -112, -209, 4, 73, 126, 
117, 48, -68, -82, 92, -9, -195, -107, -204, 0, 68, 117, 
117, 48, -68, -82, 92, -9, -190, -102, -200, -4, 63, 107, 
117, 48, -68, -82, 92, -9, -185, -97, -195, -9, 58, 97, 
112, 43, -68, -78, 90, -12, -170, -92, -190, -14, 48, 87, 
107, 39, -68, -73, 87, -14, -156, -87, -185, -19, 39, 78, 
102, 34, -68, -68, 85, -17, -141, -82, -180, -24, 29, 68, 
97, 29, -68, -63, 82, -19, -126, -78, -175, -29, 19, 58, 
82, 24, -58, -53, 70, -17, -117, -87, -185, -39, 0, 53, 
78, 19, -58, -48, 68, -19, -117, -87, -185, -48, -9, 48, 
73, 14, -58, -43, 65, -21, -117, -87, -185, -58, -19, 43, 
68, 9, -58, -39, 63, -24, -117, -87, -185, -68, -29, 39, 
63, 0, -63, -31, 63, -31, -102, -78, -195, -68, -29, 29, 
58, 0, -58, -29, 58, -29, -97, -78, -195, -68, -29, 29, 
53, 0, -53, -26, 53, -26, -92, -78, -195, -68, -29, 29, 
48, 0, -48, -24, 48, -24, -87, -78, -195, -68, -29, 29, 
58, 9, -48, -34, 53, -19, -78, -78, -185, -73, -43, 19, 
68, 9, -58, -39, 63, -24, -78, -78, -185, -78, -48, 9, 
78, 9, -68, -43, 73, -29, -78, -78, -185, -82, -53, 0, 
87, 9, -78, -48, 82, -34, -78, -78, -185, -87, -58, -9, 
78, 0, -78, -39, 78, -39, -58, -58, -156, -68, -29, 9, 
107, 0, -107, -53, 107, -53, -68, -58, -165, -68, -29, 19, 
136, 0, -136, -68, 136, -68, -78, -58, -175, -87, -29, 29, 
117, -39, -156, -39, 136, -97, -78, -39, -175, -78, -9, 48, 
78, -48, -126, -14, 102, -87, -78, -19, -146, -48, 29, 97, 
117, -19, -136, -48, 126, -78, -78, 0, -117, -9, 78, 146, 
165, -19, -185, -73, 175, -102, -97, 9, -117, -9, 107, 175, 
156, -19, -175, -68, 165, -97, -117, 19, -126, 0, 117, 175, 
156, -9, -165, -73, 161, -87, -126, 39, -107, 19, 136, 175, 
214, 19, -195, -117, 204, -87, -126, 78, -68, 58, 185, 204, 
234, 39, -195, -136, 214, -78, -136, 107, -19, 126, 253, 244, 
195, 48, -146, -122, 170, -48, -126, 126, 9, 175, 302, 263, 
136, 78, -58, -107, 97, 9, -107, 156, 58, 244, 351, 283, 
117, 126, 9, -122, 53, 68, -97, 195, 107, 322, 429, 322, 
117, 175, 58, -146, 29, 117, -97, 224, 156, 390, 478, 322, 
87, 214, 126, -151, -19, 170, -97, 244, 204, 448, 517, 302, 
39, 273, 234, -156, -97, 253, -97, 283, 263, 546, 614, 331, 
-9, 331, 341, -161, -175, 336, -68, 331, 361, 663, 702, 351, 
-58, 361, 419, -151, -239, 390, -19, 390, 448, 751, 741, 312, 
-117, 390, 507, -136, -312, 448, 39, 448, 527, 829, 771, 253, 
-204, 439, 644, -117, -424, 541, 87, 497, 614, 936, 810, 214, 
-283, 497, 780, -107, -531, 639, 146, 566, 732, 1083, 868, 195, 
-370, 566, 936, -97, -653, 751, 204, 644, 868, 1249, 956, 185, 
-458, 585, 1044, -63, -751, 814, 273, 751, 1024, 1415, 1034, 165, 
-517, 566, 1083, -24, -800, 824, 390, 897, 1200, 1581, 1063, 78, 
-575, 546, 1122, 14, -849, 834, 546, 1083, 1424, 1756, 1044, -78, 
-663, 546, 1210, 58, -936, 878, 702, 1268, 1668, 1961, 1034, -224, 
-780, 527, 1307, 126, -1044, 917, 829, 1415, 1893, 2147, 1015, -351, 
-907, 488, 1395, 209, -1151, 941, 946, 1503, 2059, 2274, 936, -478, 
-1005, 448, 1454, 278, -1229, 951, 1054, 1571, 2156, 2342, 790, -634, 
-1044, 400, 1444, 322, -1244, 922, 1190, 1639, 2254, 2313, 517, -849, 
-1063, 351, 1415, 356, -1239, 883, 1327, 1717, 2313, 2166, 107, -1141, 
-1102, 312, 1415, 395, -1259, 863, 1434, 1727, 2264, 1864, -390, -1444, 
-1132, 253, 1385, 439, -1259, 819, 1512, 1708, 2176, 1503, -810, -1668, 
-1141, 156, 1298, 492, -1220, 727, 1581, 1708, 2098, 1220, -1054, -1766, 
-1132, 39, 1171, 546, -1151, 605, 1629, 1698, 2000, 946, -1249, -1844, 
-1112, -136, 976, 624, -1044, 419, 1688, 1678, 1844, 614, -1503, -1952, 
-1083, -312, 771, 697, -927, 229, 1737, 1649, 1698, 341, -1688, -2030, 
-1024, -370, 653, 697, -839, 141, 1727, 1561, 1561, 165, -1727, -2000, 
-976, -351, 624, 663, -800, 136, 1668, 1444, 1395, 39, -1698, -1912, 
-976, -351, 624, 663, -800, 136, 1639, 1356, 1268, -39, -1649, -1805, 
-946, -370, 575, 658, -761, 102, 1590, 1268, 1161, -107, -1590, -1737, 
-829, -380, 448, 605, -639, 34, 1503, 1180, 1034, -204, -1542, -1678, 
-741, -400, 341, 570, -541, -29, 1424, 1112, 927, -283, -1493, -1600, 
-722, -419, 302, 570, -512, -58, 1376, 1073, 858, -292, -1395, -1493, 
-732, -439, 292, 585, -512, -73, 1317, 995, 790, -292, -1298, -1376, 
-683, -419, 263, 551, -473, -78, 1210, 907, 702, -292, -1190, -1259, 
-595, -390, 204, 492, -400, -92, 1102, 819, 624, -273, -1093, -1141, 
-517, -351, 165, 434, -341, -92, 985, 722, 536, -244, -995, -1024, 
-448, -292, 156, 370, -302, -68, 878, 634, 478, -214, -897, -907, 
-380, -224, 156, 302, -268, -34, 790, 575, 429, -195, -800, -810, 
-341, -175, 165, 258, -253, -4, 712, 497, 341, -224, -722, -732, 
-292, -165, 126, 229, -209, -19, 614, 419, 234, -283, -692, -683, 
-273, -185, 87, 229, -180, -48, 575, 390, 175, -322, -663, -624, 
