I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-29, -87, -58, 58, 14, -73, 87, 136, 97, -9, -68, -29, 
-29, -87, -58, 58, 14, -73, 82, 141, 102, -4, -68, -29, 
-29, -87, -58, 58, 14, -73, 78, 146, 107, 0, -68, -29, 
-29, -78, -48, 53, 9, -63, 78, 156, 112, 4, -68, -29, 
-29, -68, -39, 48, 4, -53, 78, 165, 117, 9, -68, -29, 
-29, -68, -39, 48, 4, -53, 82, 175, 126, 14, -58, -29, 
-29, -68, -39, 48, 4, -53, 87, 185, 136, 19, -48, -29, 
-29, -68, -39, 48, 4, -53, 92, 200, 151, 29, -48, -24, 
-29, -68, -39, 48, 4, -53, 97, 214, 165, 39, -48, -19, 
-29, -68, -39, 48, 4, -53, 97, 224, 170, 43, -39, -9, 
-29, -68, -39, 48, 4, -53, 97, 234, 175, 48, -29, 0, 
-19, -68, -48, 43, 14, -58, 107, 253, 190, 58, -29, 0, 
-9, -68, -58, 39, 24, -63, 117, 273, 204, 68, -29, 0, 
-4, -63, -58, 34, 26, -61, 117, 292, 219, 73, -24, 0, 
0, -58, -58, 29, 29, -58, 117, 312, 234, 78, -19, 0, 
0, -53, -53, 26, 26, -53, 126, 336, 253, 92, -9, 9, 
0, -48, -48, 24, 24, -48, 136, 361, 273, 107, 0, 19, 
0, -43, -43, 21, 21, -43, 141, 380, 287, 107, 9, 24, 
0, -39, -39, 19, 19, -39, 146, 400, 302, 107, 19, 29, 
0, -29, -29, 14, 14, -29, 156, 429, 322, 126, 29, 43, 
0, -19, -19, 9, 9, -19, 165, 458, 341, 146, 39, 58, 
14, -9, -24, -2, 19, -17, 165, 483, 356, 151, 48, 63, 
29, 0, -29, -14, 29, -14, 165, 507, 370, 156, 58, 68, 
34, 14, -19, -24, 26, -2, 165, 522, 380, 165, 68, 82, 
39, 29, -9, -34, 24, 9, 165, 536, 390, 175, 78, 97, 
39, 39, 0, -39, 19, 19, 165, 546, 395, 180, 97, 112, 
39, 48, 9, -43, 14, 29, 165, 556, 400, 185, 117, 126, 
53, 68, 14, -61, 19, 41, 161, 556, 400, 190, 126, 136, 
68, 87, 19, -78, 24, 53, 156, 556, 400, 195, 136, 146, 
68, 102, 34, -85, 17, 68, 156, 556, 400, 195, 151, 165, 
68, 117, 48, -92, 9, 82, 156, 556, 400, 195, 165, 185, 
68, 131, 63, -100, 2, 97, 141, 531, 380, 195, 175, 195, 
68, 146, 78, -107, -4, 112, 126, 507, 361, 195, 185, 204, 
68, 161, 92, -114, -12, 126, 107, 463, 326, 185, 195, 214, 
68, 175, 107, -122, -19, 141, 87, 419, 292, 175, 204, 224, 
68, 175, 107, -122, -19, 141, 73, 370, 263, 165, 209, 234, 
68, 175, 107, -122, -19, 141, 58, 322, 234, 156, 214, 244, 
68, 165, 97, -117, -14, 131, 39, 273, 200, 156, 214, 244, 
68, 156, 87, -112, -9, 122, 19, 224, 165, 156, 214, 244, 
68, 141, 73, -104, -2, 107, 9, 180, 141, 151, 214, 239, 
68, 126, 58, -97, 4, 92, 0, 136, 117, 146, 214, 234, 
58, 97, 39, -78, 9, 68, -9, 112, 102, 141, 195, 214, 
48, 68, 19, -58, 14, 43, -19, 87, 87, 136, 175, 195, 
39, 48, 9, -43, 14, 29, -19, 68, 78, 122, 156, 175, 
29, 29, 0, -29, 14, 14, -19, 48, 68, 107, 136, 156, 
29, 4, -24, -17, 26, -9, -14, 29, 43, 87, 107, 131, 
29, -19, -48, -4, 39, -34, -9, 9, 19, 68, 78, 107, 
14, -34, -48, 9, 31, -41, -4, 4, 19, 63, 73, 102, 
0, -48, -48, 24, 24, -48, 0, 0, 19, 58, 68, 97, 
0, -58, -58, 29, 29, -58, 0, -4, 9, 43, 43, 78, 
0, -68, -68, 34, 34, -68, 0, -9, 0, 29, 19, 58, 
-14, -68, -53, 41, 19, -61, 4, -14, -4, 14, 9, 53, 
-29, -68, -39, 48, 4, -53, 9, -19, -9, 0, 0, 48, 
-29, -78, -48, 53, 9, -63, 9, -24, -14, -4, -4, 39, 
-29, -87, -58, 58, 14, -73, 9, -29, -19, -9, -9, 29, 
-29, -97, -68, 63, 19, -82, 9, -29, -24, -9, -14, 29, 
-29, -107, -78, 68, 24, -92, 9, -29, -29, -9, -19, 29, 
-34, -107, -73, 70, 19, -90, 9, -34, -29, -19, -24, 24, 
-39, -107, -68, 73, 14, -87, 9, -39, -29, -29, -29, 19, 
-39, -112, -73, 75, 17, -92, 9, -39, -29, -29, -34, 19, 
-39, -117, -78, 78, 19, -97, 9, -39, -29, -29, -39, 19, 
-29, -117, -87, 73, 29, -102, 14, -34, -29, -29, -43, 14, 
-19, -117, -97, 68, 39, -107, 19, -29, -29, -29, -48, 9, 
-29, -117, -87, 73, 29, -102, 19, -29, -29, -29, -53, 9, 
-39, -117, -78, 78, 19, -97, 19, -29, -29, -29, -58, 9, 
-39, -117, -78, 78, 19, -97, 24, -29, -29, -29, -58, 9, 
-39, -117, -78, 78, 19, -97, 29, -29, -29, -29, -58, 9, 
-34, -117, -82, 75, 24, -100, 29, -24, -24, -29, -58, 9, 
-29, -117, -87, 73, 29, -102, 29, -19, -19, -29, -58, 9, 
