I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-87, 605, 692, -258, -390, 649, 9, 19, 439, 439, 478, 536, 
-87, 605, 692, -258, -390, 649, 9, 19, 439, 439, 478, 536, 
-87, 605, 692, -258, -390, 649, 9, 19, 439, 439, 478, 536, 
-87, 605, 692, -258, -390, 649, 9, 19, 439, 439, 478, 536, 
-117, 658, 775, -270, -446, 717, -141, -151, 405, 424, 492, 575, 
-136, 712, 849, -287, -492, 780, -292, -312, 370, 419, 507, 614, 
-156, 766, 922, -305, -539, 844, -444, -473, 336, 414, 522, 653, 
-175, 819, 995, -322, -585, 907, -595, -634, 302, 409, 536, 692, 
-195, 873, 1068, -339, -631, 971, -658, -707, 322, 439, 590, 741, 
-204, 927, 1132, -361, -668, 1029, -722, -771, 331, 468, 634, 790, 
-214, 980, 1195, -383, -705, 1088, -785, -834, 341, 497, 678, 839, 
-224, 1034, 1259, -405, -741, 1146, -849, -897, 351, 527, 722, 888, 
-239, 1093, 1332, -427, -785, 1212, -873, -927, 400, 580, 780, 946, 
-253, 1151, 1405, -448, -829, 1278, -888, -946, 439, 634, 829, 995, 
-268, 1210, 1478, -470, -873, 1344, -902, -966, 478, 688, 878, 1044, 
-283, 1268, 1551, -492, -917, 1410, -917, -985, 517, 741, 927, 1093, 
-283, 1327, 1610, -522, -946, 1468, -980, -1049, 497, 761, 976, 1161, 
-283, 1385, 1668, -551, -976, 1527, -1044, -1112, 478, 780, 1024, 1220, 
-283, 1444, 1727, -580, -1005, 1586, -1107, -1176, 458, 800, 1073, 1278, 
-283, 1503, 1786, -610, -1034, 1644, -1171, -1239, 439, 819, 1122, 1337, 
-283, 1556, 1839, -636, -1061, 1698, -1254, -1327, 366, 800, 1141, 1381, 
-283, 1600, 1883, -658, -1083, 1742, -1327, -1415, 292, 780, 1161, 1424, 
-283, 1644, 1927, -680, -1105, 1786, -1400, -1503, 219, 761, 1180, 1468, 
-283, 1688, 1971, -702, -1127, 1830, -1473, -1590, 146, 741, 1200, 1512, 
-244, 1673, 1917, -714, -1080, 1795, -1503, -1625, 39, 678, 1215, 1546, 
-214, 1659, 1873, -722, -1044, 1766, -1522, -1649, -58, 624, 1220, 1571, 
-185, 1644, 1830, -729, -1007, 1737, -1542, -1673, -156, 570, 1224, 1595, 
-156, 1629, 1786, -736, -971, 1708, -1561, -1698, -253, 517, 1229, 1620, 
-136, 1498, 1634, -680, -885, 1566, -1493, -1668, -405, 312, 1039, 1488, 
-126, 1376, 1503, -624, -814, 1439, -1424, -1649, -546, 117, 858, 1356, 
-117, 1254, 1371, -568, -744, 1312, -1356, -1629, -688, -78, 678, 1224, 
-107, 1132, 1239, -512, -673, 1185, -1288, -1610, -829, -273, 497, 1093, 
-117, 936, 1054, -409, -585, 995, -1098, -1415, -780, -331, 336, 888, 
-117, 751, 868, -317, -492, 810, -917, -1220, -741, -390, 175, 683, 
-117, 566, 683, -224, -400, 624, -736, -1024, -702, -448, 14, 478, 
-117, 380, 497, -131, -307, 439, -556, -829, -663, -507, -146, 273, 
-82, 253, 336, -85, -209, 295, -419, -653, -551, -439, -170, 185, 
-58, 126, 185, -34, -122, 156, -292, -478, -439, -370, -185, 97, 
-34, 0, 34, 17, -34, 17, -165, -302, -326, -302, -200, 9, 
-9, -126, -117, 68, 53, -122, -39, -126, -214, -234, -214, -78, 
0, -165, -165, 82, 82, -165, 0, -82, -190, -214, -219, -102, 
0, -195, -195, 97, 97, -195, 39, -39, -165, -204, -224, -126, 
0, -224, -224, 112, 112, -224, 78, 4, -141, -195, -229, -151, 
0, -253, -253, 126, 126, -253, 117, 48, -117, -185, -234, -175, 
0, -263, -263, 131, 131, -263, 131, 68, -117, -190, -248, -185, 
0, -273, -273, 136, 136, -273, 136, 78, -117, -195, -253, -195, 
0, -283, -283, 141, 141, -283, 141, 87, -117, -200, -258, -204, 
0, -292, -292, 146, 146, -292, 146, 97, -117, -204, -263, -214, 
9, -302, -312, 146, 161, -307, 156, 117, -107, -209, -278, -234, 
9, -312, -322, 151, 165, -317, 165, 126, -107, -214, -283, -244, 
9, -322, -331, 156, 170, -326, 175, 136, -107, -219, -287, -253, 
9, -331, -341, 161, 175, -336, 185, 146, -107, -224, -292, -263, 
9, -346, -356, 168, 183, -351, 190, 161, -107, -234, -297, -268, 
9, -351, -361, 170, 185, -356, 195, 165, -107, -234, -302, -273, 
9, -356, -366, 173, 187, -361, 200, 170, -107, -234, -307, -278, 
9, -361, -370, 175, 190, -366, 204, 175, -107, -234, -312, -283, 
19, -375, -395, 178, 207, -385, 219, 185, -107, -244, -322, -292, 
19, -380, -400, 180, 209, -390, 224, 195, -107, -244, -322, -302, 
19, -385, -405, 183, 212, -395, 229, 204, -107, -244, -322, -312, 
19, -390, -409, 185, 214, -400, 234, 214, -107, -244, -322, -322, 
29, -400, -429, 185, 229, -414, 239, 224, -117, -248, -336, -336, 
29, -409, -439, 190, 234, -424, 244, 234, -117, -253, -341, -341, 
29, -419, -448, 195, 239, -434, 248, 244, -117, -258, -346, -346, 
