I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -29, 9, 34, -24, -9, -58, -97, 19, 0, 117, 78, 
-34, -19, 14, 26, -24, -2, -53, -97, 24, 0, 117, 78, 
-29, -9, 19, 19, -24, 4, -48, -97, 29, 0, 117, 78, 
-9, -9, 0, 9, -4, -4, -43, -97, 29, 0, 117, 78, 
9, -9, -19, 0, 14, -14, -39, -97, 29, 0, 117, 78, 
-4, -19, -14, 12, 4, -17, -39, -97, 29, 0, 117, 78, 
-19, -29, -9, 24, -4, -19, -39, -97, 29, 0, 117, 78, 
-19, -29, -9, 24, -4, -19, -39, -92, 29, 0, 117, 78, 
-19, -29, -9, 24, -4, -19, -39, -87, 29, 0, 117, 78, 
-34, -34, 0, 34, -17, -17, -29, -87, 24, 0, 117, 73, 
-48, -39, 9, 43, -29, -14, -19, -87, 19, 0, 117, 68, 
-48, -39, 9, 43, -29, -14, -19, -87, 19, 0, 112, 68, 
-48, -39, 9, 43, -29, -14, -19, -87, 19, 0, 107, 68, 
-34, -34, 0, 34, -17, -17, -19, -87, 19, 0, 107, 68, 
-19, -29, -9, 24, -4, -19, -19, -87, 19, 0, 107, 68, 
-19, -29, -9, 24, -4, -19, -19, -92, 14, -4, 107, 68, 
-19, -29, -9, 24, -4, -19, -19, -97, 9, -9, 107, 68, 
-19, -29, -9, 24, -4, -19, -19, -97, 9, -9, 107, 58, 
-19, -29, -9, 24, -4, -19, -19, -97, 9, -9, 107, 48, 
-14, -19, -4, 17, -4, -12, -9, -92, 9, -4, 107, 58, 
-9, -9, 0, 9, -4, -4, 0, -87, 9, 0, 107, 68, 
-9, -9, 0, 9, -4, -4, 4, -82, 9, 0, 107, 68, 
-9, -9, 0, 9, -4, -4, 9, -78, 9, 0, 107, 68, 
-24, -24, 0, 24, -12, -12, 14, -78, 9, 0, 107, 68, 
-39, -39, 0, 39, -19, -19, 19, -78, 9, 0, 107, 68, 
-39, -39, 0, 39, -19, -19, 19, -78, 9, -4, 107, 68, 
-39, -39, 0, 39, -19, -19, 19, -78, 9, -9, 107, 68, 
-29, -24, 4, 26, -17, -9, 29, -78, 9, -9, 107, 68, 
-19, -9, 9, 14, -14, 0, 39, -78, 9, -9, 107, 68, 
-19, -19, 0, 19, -9, -9, 39, -78, 9, -9, 107, 58, 
-19, -29, -9, 24, -4, -19, 39, -78, 9, -9, 107, 48, 
-43, -39, 4, 41, -24, -17, 43, -73, 14, -4, 107, 58, 
-68, -48, 19, 58, -43, -14, 48, -68, 19, 0, 107, 68, 
-43, -29, 14, 36, -29, -7, 48, -68, 19, 0, 107, 68, 
-19, -9, 9, 14, -14, 0, 48, -68, 19, 0, 107, 68, 
-19, -9, 9, 14, -14, 0, 53, -68, 19, 0, 107, 68, 
-19, -9, 9, 14, -14, 0, 58, -68, 19, 0, 107, 68, 
-29, -24, 4, 26, -17, -9, 58, -73, 14, -4, 107, 63, 
-39, -39, 0, 39, -19, -19, 58, -78, 9, -9, 107, 58, 
-24, -39, -14, 31, -4, -26, 58, -78, 9, -9, 107, 58, 
-9, -39, -29, 24, 9, -34, 58, -78, 9, -9, 107, 58, 
-9, -19, -9, 14, 0, -14, 73, -63, 19, 0, 112, 58, 
-9, 0, 9, 4, -9, 4, 87, -48, 29, 9, 117, 58, 
-9, -14, -4, 12, -2, -9, 68, -63, 9, -4, 117, 58, 
-9, -29, -19, 19, 4, -24, 48, -78, -9, -19, 117, 58, 
