I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-48, -97, -48, 73, 0, -73, 195, 97, 19, -9, -78, -19, 
-48, -97, -48, 73, 0, -73, 195, 97, 19, -9, -78, -19, 
-48, -97, -48, 73, 0, -73, 195, 97, 19, -9, -78, -19, 
-48, -97, -48, 73, 0, -73, 195, 97, 19, -9, -78, -19, 
-48, -97, -48, 73, 0, -73, 185, 97, 19, 0, -68, -29, 
-48, -97, -48, 73, 0, -73, 185, 97, 19, 0, -68, -29, 
-48, -97, -48, 73, 0, -73, 185, 97, 19, 0, -68, -29, 
-48, -97, -48, 73, 0, -73, 185, 97, 19, 0, -68, -29, 
-48, -97, -48, 73, 0, -73, 185, 102, 29, 0, -58, -19, 
-48, -97, -48, 73, 0, -73, 185, 107, 29, 0, -58, -19, 
-48, -97, -48, 73, 0, -73, 185, 112, 29, 0, -58, -19, 
-48, -97, -48, 73, 0, -73, 185, 117, 29, 0, -58, -19, 
-39, -87, -48, 63, 4, -68, 190, 126, 39, 9, -58, -19, 
-39, -87, -48, 63, 4, -68, 195, 126, 39, 9, -58, -19, 
-39, -87, -48, 63, 4, -68, 200, 126, 39, 9, -58, -19, 
-39, -87, -48, 63, 4, -68, 204, 126, 39, 9, -58, -19, 
-39, -87, -48, 63, 4, -68, 204, 131, 43, 19, -48, -9, 
-39, -87, -48, 63, 4, -68, 204, 136, 48, 19, -48, -9, 
-39, -87, -48, 63, 4, -68, 204, 141, 53, 19, -48, -9, 
-39, -87, -48, 63, 4, -68, 204, 146, 58, 19, -48, -9, 
-29, -78, -48, 53, 9, -63, 214, 156, 68, 19, -39, -9, 
-29, -78, -48, 53, 9, -63, 214, 156, 68, 19, -39, -9, 
-29, -78, -48, 53, 9, -63, 214, 156, 68, 19, -39, -9, 
-29, -78, -48, 53, 9, -63, 214, 156, 68, 19, -39, -9, 
-39, -68, -29, 53, -4, -48, 224, 161, 78, 24, -39, -9, 
-39, -68, -29, 53, -4, -48, 224, 165, 78, 29, -39, -9, 
-39, -68, -29, 53, -4, -48, 224, 170, 78, 34, -39, -9, 
-39, -68, -29, 53, -4, -48, 224, 175, 78, 39, -39, -9, 
-39, -68, -29, 53, -4, -48, 234, 190, 82, 48, -29, 0, 
-39, -68, -29, 53, -4, -48, 234, 195, 87, 48, -29, 0, 
-39, -68, -29, 53, -4, -48, 234, 200, 92, 48, -29, 0, 
-39, -68, -29, 53, -4, -48, 234, 204, 97, 48, -29, 0, 
-29, -63, -34, 46, 2, -48, 244, 214, 107, 48, -19, 9, 
-29, -58, -29, 43, 0, -43, 244, 214, 107, 48, -19, 9, 
-29, -53, -24, 41, -2, -39, 244, 214, 107, 48, -19, 9, 
-29, -48, -19, 39, -4, -34, 244, 214, 107, 48, -19, 9, 
-29, -48, -19, 39, -4, -34, 244, 219, 112, 53, -14, 14, 
-29, -48, -19, 39, -4, -34, 244, 224, 117, 58, -9, 19, 
-29, -48, -19, 39, -4, -34, 244, 229, 122, 63, -4, 24, 
-29, -48, -19, 39, -4, -34, 244, 234, 126, 68, 0, 29, 
-19, -39, -19, 29, 0, -29, 253, 253, 141, 73, 4, 39, 
-19, -39, -19, 29, 0, -29, 253, 263, 146, 78, 9, 39, 
-19, -39, -19, 29, 0, -29, 253, 273, 151, 82, 14, 39, 
-19, -39, -19, 29, 0, -29, 253, 283, 156, 87, 19, 39, 
-9, -34, -24, 21, 7, -29, 258, 287, 170, 97, 29, 43, 
-9, -29, -19, 19, 4, -24, 263, 292, 175, 97, 29, 48, 
-9, -24, -14, 17, 2, -19, 268, 297, 180, 97, 29, 53, 
-9, -19, -9, 14, 0, -14, 273, 302, 185, 97, 29, 58, 
-4, -9, -4, 7, 0, -7, 273, 322, 200, 102, 34, 68, 
0, 0, 0, 0, 0, 0, 273, 331, 204, 107, 39, 68, 
4, 9, 4, -7, 0, 7, 273, 341, 209, 112, 43, 68, 
9, 19, 9, -14, 0, 14, 273, 351, 214, 117, 48, 68, 
9, 19, 9, -14, 0, 14, 273, 366, 229, 122, 63, 82, 
9, 19, 9, -14, 0, 14, 273, 370, 234, 126, 68, 87, 
9, 19, 9, -14, 0, 14, 273, 375, 239, 131, 73, 92, 
9, 19, 9, -14, 0, 14, 273, 380, 244, 136, 78, 97, 
