I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
107, 644, 536, -375, -214, 590, -546, -527, 136, 331, 380, 409, 
107, 644, 536, -375, -214, 590, -546, -527, 136, 331, 380, 409, 
107, 644, 536, -375, -214, 590, -546, -527, 136, 331, 380, 409, 
107, 644, 536, -375, -214, 590, -546, -527, 136, 331, 380, 409, 
117, 624, 507, -370, -195, 566, -517, -497, 151, 322, 370, 395, 
117, 605, 488, -361, -185, 546, -497, -468, 156, 322, 361, 380, 
117, 585, 468, -351, -175, 527, -478, -439, 161, 322, 351, 366, 
117, 566, 448, -341, -165, 507, -458, -409, 165, 322, 341, 351, 
107, 536, 429, -322, -161, 483, -439, -375, 170, 312, 326, 331, 
107, 517, 409, -312, -151, 463, -419, -351, 175, 302, 312, 312, 
107, 497, 390, -302, -141, 444, -400, -326, 180, 292, 297, 292, 
107, 478, 370, -292, -131, 424, -380, -302, 185, 283, 283, 273, 
97, 453, 356, -275, -129, 405, -356, -273, 180, 268, 268, 253, 
97, 429, 331, -263, -117, 380, -331, -244, 175, 263, 253, 234, 
97, 405, 307, -251, -104, 356, -307, -214, 170, 258, 239, 214, 
97, 380, 283, -239, -92, 331, -283, -185, 165, 253, 224, 195, 
92, 351, 258, -222, -82, 305, -253, -156, 161, 244, 209, 170, 
87, 331, 244, -209, -78, 287, -234, -136, 156, 234, 195, 156, 
82, 312, 229, -197, -73, 270, -214, -117, 151, 224, 180, 141, 
78, 292, 214, -185, -68, 253, -195, -97, 146, 214, 165, 126, 
68, 273, 204, -170, -68, 239, -165, -73, 131, 195, 151, 102, 
68, 253, 185, -161, -58, 219, -146, -58, 126, 185, 136, 87, 
68, 234, 165, -151, -48, 200, -126, -43, 122, 175, 122, 73, 
68, 214, 146, -141, -39, 180, -107, -29, 117, 165, 107, 58, 
63, 190, 126, -126, -31, 158, -87, -9, 102, 146, 92, 43, 
58, 175, 117, -117, -29, 146, -78, 0, 97, 136, 78, 29, 
53, 161, 107, -107, -26, 134, -68, 9, 92, 126, 63, 14, 
48, 146, 97, -97, -24, 122, -58, 19, 87, 117, 48, 0, 
43, 126, 82, -85, -19, 104, -39, 24, 68, 107, 39, -19, 
39, 117, 78, -78, -19, 97, -29, 29, 58, 97, 29, -29, 
34, 107, 73, -70, -19, 90, -19, 34, 48, 87, 19, -39, 
29, 97, 68, -63, -19, 82, -9, 39, 39, 78, 9, -48, 
24, 78, 53, -51, -14, 65, -4, 39, 29, 68, 0, -63, 
19, 68, 48, -43, -14, 58, 0, 39, 19, 58, -9, -68, 
14, 58, 43, -36, -14, 51, 4, 39, 9, 48, -19, -73, 
9, 48, 39, -29, -14, 43, 9, 39, 0, 39, -29, -78, 
9, 34, 24, -21, -7, 29, 9, 29, -14, 24, -43, -92, 
9, 29, 19, -19, -4, 24, 9, 29, -19, 19, -48, -97, 
9, 24, 14, -17, -2, 19, 9, 29, -24, 14, -53, -102, 
9, 19, 9, -14, 0, 14, 9, 29, -29, 9, -58, -107, 
0, 4, 4, -2, -2, 4, 0, 14, -39, -4, -63, -112, 
0, 0, 0, 0, 0, 0, 0, 9, -48, -9, -68, -117, 
0, -4, -4, 2, 2, -4, 0, 4, -58, -14, -73, -122, 
0, -9, -9, 4, 4, -9, 0, 0, -68, -19, -78, -126, 
-9, -14, -4, 12, -2, -9, -9, -14, -73, -29, -87, -136, 
-9, -19, -9, 14, 0, -14, -9, -19, -78, -29, -87, -136, 
-9, -24, -14, 17, 2, -19, -9, -24, -82, -29, -87, -136, 
-9, -29, -19, 19, 4, -24, -9, -29, -87, -29, -87, -136, 
-9, -29, -19, 19, 4, -24, -14, -34, -92, -43, -97, -141, 
-9, -29, -19, 19, 4, -24, -19, -39, -97, -48, -97, -146, 
-9, -29, -19, 19, 4, -24, -24, -43, -102, -53, -97, -151, 
-9, -29, -19, 19, 4, -24, -29, -48, -107, -58, -97, -156, 
-9, -39, -29, 24, 9, -34, -39, -53, -117, -68, -107, -156, 
-9, -39, -29, 24, 9, -34, -39, -58, -117, -68, -107, -156, 
-9, -39, -29, 24, 9, -34, -39, -63, -117, -68, -107, -156, 
-9, -39, -29, 24, 9, -34, -39, -68, -117, -68, -107, -156, 
-19, -39, -19, 29, 0, -29, -48, -73, -126, -78, -97, -156, 
-19, -39, -19, 29, 0, -29, -48, -78, -126, -78, -97, -156, 
-19, -39, -19, 29, 0, -29, -48, -82, -126, -78, -97, -156, 
-19, -39, -19, 29, 0, -29, -48, -87, -126, -78, -97, -156, 
-9, -48, -39, 29, 14, -43, -48, -92, -136, -87, -107, -156, 
-9, -48, -39, 29, 14, -43, -48, -97, -136, -87, -107, -156, 
-9, -48, -39, 29, 14, -43, -48, -102, -136, -87, -107, -156, 
-9, -48, -39, 29, 14, -43, -48, -107, -136, -87, -107, -156, 
-19, -48, -29, 34, 4, -39, -58, -117, -136, -78, -107, -156, 
-19, -48, -29, 34, 4, -39, -58, -117, -136, -78, -107, -156, 
-19, -48, -29, 34, 4, -39, -58, -117, -136, -78, -107, -156, 
-19, -48, -29, 34, 4, -39, -58, -117, -136, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -58, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -58, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -58, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -58, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -68, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -68, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -68, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -68, -126, -146, -78, -107, -156, 
-19, -39, -19, 29, 0, -29, -68, -126, -136, -78, -97, -146, 
-19, -39, -19, 29, 0, -29, -68, -126, -136, -78, -97, -146, 
-19, -39, -19, 29, 0, -29, -68, -126, -136, -78, -97, -146, 
-19, -39, -19, 29, 0, -29, -68, -126, -136, -78, -97, -146, 
-19, -29, -9, 24, -4, -19, -68, -136, -126, -78, -107, -146, 
-19, -29, -9, 24, -4, -19, -68, -136, -126, -78, -107, -146, 
-19, -29, -9, 24, -4, -19, -68, -136, -126, -78, -107, -146, 
-19, -29, -9, 24, -4, -19, -68, -136, -126, -78, -107, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -78, -122, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -78, -126, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -78, -131, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -78, -136, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -141, -136, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -146, -136, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -151, -136, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -156, -136, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -156, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -156, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -156, -146, 
-19, -29, -9, 24, -4, -19, -68, -126, -126, -68, -156, -146, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -68, -156, -136, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -68, -156, -136, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -68, -156, -136, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -68, -156, -136, 
-29, -19, 9, 24, -19, -4, -48, -117, -107, -58, -156, -136, 
-29, -19, 9, 24, -19, -4, -48, -117, -107, -58, -156, -136, 
-29, -19, 9, 24, -19, -4, -48, -117, -107, -58, -156, -136, 
-29, -19, 9, 24, -19, -4, -48, -117, -107, -58, -156, -136, 
-19, -19, 0, 19, -9, -9, -48, -117, -107, -58, -156, -136, 
-19, -19, 0, 19, -9, -9, -48, -117, -107, -58, -156, -136, 
-19, -19, 0, 19, -9, -9, -48, -117, -107, -58, -156, -136, 
-19, -19, 0, 19, -9, -9, -48, -117, -107, -58, -156, -136, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -58, -165, -136, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -58, -165, -136, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -58, -165, -136, 
-19, -19, 0, 19, -9, -9, -58, -117, -117, -58, -165, -136, 
-19, -19, 0, 19, -9, -9, -48, -107, -107, -48, -156, -136, 
-19, -19, 0, 19, -9, -9, -48, -107, -107, -48, -156, -136, 
-19, -19, 0, 19, -9, -9, -48, -107, -107, -48, -156, -136, 
-19, -19, 0, 19, -9, -9, -48, -107, -107, -48, -156, -136, 
-9, -14, -4, 12, -2, -9, -39, -107, -107, -48, -165, -136, 
-9, -9, 0, 9, -4, -4, -39, -107, -107, -48, -165, -136, 
-9, -4, 4, 7, -7, 0, -39, -107, -107, -48, -165, -136, 
-9, 0, 9, 4, -9, 4, -39, -107, -107, -48, -165, -136, 
0, 9, 9, -4, -4, 9, -39, -97, -97, -48, -156, -136, 
0, 9, 9, -4, -4, 9, -39, -97, -97, -48, -156, -136, 
0, 9, 9, -4, -4, 9, -39, -97, -97, -48, -156, -136, 
0, 9, 9, -4, -4, 9, -39, -97, -97, -48, -156, -136, 
9, 19, 9, -14, 0, 14, -29, -87, -97, -39, -156, -136, 
9, 19, 9, -14, 0, 14, -29, -87, -97, -39, -156, -136, 
9, 19, 9, -14, 0, 14, -29, -87, -97, -39, -156, -136, 
9, 19, 9, -14, 0, 14, -29, -87, -97, -39, -156, -136, 
19, 29, 9, -24, 4, 19, -19, -78, -92, -29, -146, -131, 
19, 29, 9, -24, 4, 19, -19, -78, -87, -29, -146, -126, 
19, 29, 9, -24, 4, 19, -19, -78, -82, -29, -146, -122, 
19, 29, 9, -24, 4, 19, -19, -78, -78, -29, -146, -117, 
29, 19, -9, -24, 19, 4, -19, -78, -87, -29, -146, -117, 
29, 19, -9, -24, 19, 4, -19, -78, -87, -29, -146, -117, 
29, 24, -4, -26, 17, 9, -19, -73, -87, -29, -141, -117, 
29, 29, 0, -29, 14, 14, -24, -73, -87, -29, -141, -112, 
39, 29, -9, -34, 24, 9, -39, -78, -97, -34, -141, -122, 
43, 24, -19, -34, 31, 2, -39, -73, -92, -34, -141, -117, 
43, 19, -24, -31, 34, -2, -39, -73, -87, -34, -141, -112, 
53, 19, -34, -36, 43, -7, -43, -73, -87, -29, -136, -112, 
53, 24, -29, -39, 41, -2, -53, -78, -97, -39, -146, -112, 
58, 24, -34, -41, 46, -4, -63, -82, -97, -39, -146, -112, 
68, 24, -43, -46, 56, -9, -82, -87, -97, -39, -146, -112, 
68, 29, -39, -48, 53, -4, -92, -92, -97, -39, -151, -117, 
58, 24, -34, -41, 46, -4, -102, -112, -122, -53, -161, -136, 
58, 14, -43, -36, 51, -14, -107, -126, -126, -58, -170, -136, 
58, 9, -48, -34, 53, -19, -112, -141, -136, -73, -180, -136, 
53, 4, -48, -29, 51, -21, -117, -156, -141, -78, -180, -136, 
53, 0, -53, -26, 53, -26, -102, -156, -146, -78, -180, -136, 
53, 0, -53, -26, 53, -26, -107, -151, -146, -87, -180, -136, 
48, -4, -53, -21, 51, -29, -112, -146, -146, -87, -180, -141, 
48, -9, -58, -19, 53, -34, -107, -151, -146, -87, -180, -151, 
58, -14, -73, -21, 65, -43, -112, -151, -146, -82, -190, -151, 
58, -14, -73, -21, 65, -43, -107, -151, -146, -82, -195, -146, 
58, -19, -78, -19, 68, -48, -102, -151, -151, -82, -195, -146, 
58, -24, -82, -17, 70, -53, -97, -161, -151, -82, -195, -146, 
53, -24, -78, -14, 65, -51, -107, -161, -156, -92, -195, -146, 
53, -24, -78, -14, 65, -51, -107, -161, -161, -97, -195, -146, 
48, -24, -73, -12, 61, -48, -112, -165, -165, -97, -204, -146, 
39, -24, -63, -7, 51, -43, -112, -170, -170, -107, -209, -146, 
43, -14, -58, -14, 51, -36, -112, -165, -165, -97, -204, -151, 
43, -14, -58, -14, 51, -36, -112, -165, -170, -97, -200, -156, 
39, -14, -53, -12, 46, -34, -107, -165, -170, -102, -195, -156, 
39, -24, -63, -7, 51, -43, -107, -180, -170, -102, -200, -156, 
19, -34, -53, 7, 36, -43, -92, -180, -170, -102, -200, -156, 
4, -34, -39, 14, 21, -36, -92, -180, -170, -102, -200, -161, 
-9, -39, -29, 24, 9, -34, -87, -180, -170, -102, -204, -161, 
-24, -48, -24, 36, 0, -36, -87, -180, -175, -102, -209, -161, 
-19, -63, -43, 41, 12, -53, -87, -180, -185, -122, -224, -165, 
-34, -68, -34, 51, 0, -51, -82, -190, -195, -126, -224, -170, 
-39, -73, -34, 56, -2, -53, -82, -190, -195, -131, -229, -180, 
-39, -78, -39, 58, 0, -58, -82, -190, -200, -136, -229, -190, 
-39, -82, -43, 61, 2, -63, -82, -190, -195, -126, -224, -180, 
