I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-14, -4, 9, 9, -12, 2, 43, -43, -102, -126, -78, -78, 
-14, -4, 9, 9, -12, 2, 43, -43, -102, -136, -87, -78, 
-14, -4, 9, 9, -12, 2, 48, -43, -102, -136, -78, -78, 
-9, -4, 4, 7, -7, 0, 48, -43, -112, -136, -78, -73, 
-9, -9, 0, 9, -4, -4, 43, -43, -112, -141, -87, -73, 
-4, 0, 4, 2, -4, 2, 43, -43, -107, -141, -87, -73, 
-4, -14, -9, 9, 2, -12, 39, -43, -97, -136, -87, -73, 
-4, -14, -9, 9, 2, -12, 39, -39, -97, -126, -82, -63, 
-9, -29, -19, 19, 4, -24, 39, -39, -87, -126, -82, -73, 
-9, -29, -19, 19, 4, -24, 24, -48, -97, -131, -82, -73, 
-19, -29, -9, 24, -4, -19, 19, -53, -97, -131, -82, -73, 
-24, -29, -4, 26, -9, -17, 9, -58, -97, -131, -82, -73, 
-24, -29, -4, 26, -9, -17, 19, -48, -87, -126, -73, -68, 
-19, -29, -9, 24, -4, -19, 19, -53, -92, -126, -73, -63, 
-19, -29, -9, 24, -4, -19, 14, -58, -97, -126, -73, -63, 
-19, -34, -14, 26, -2, -24, 14, -63, -102, -126, -78, -58, 
-19, -29, -9, 24, -4, -19, 4, -68, -107, -136, -87, -63, 
-14, -34, -19, 24, 2, -26, 4, -73, -117, -141, -87, -63, 
-14, -34, -19, 24, 2, -26, 4, -82, -122, -141, -92, -63, 
-14, -29, -14, 21, 0, -21, 4, -87, -126, -146, -92, -63, 
-14, -39, -24, 26, 4, -31, 4, -78, -126, -146, -92, -58, 
-19, -43, -24, 31, 2, -34, 4, -78, -126, -151, -87, -63, 
-24, -43, -19, 34, -2, -31, 4, -78, -126, -151, -92, -68, 
-39, -43, -4, 41, -17, -24, 4, -78, -126, -151, -87, -78, 
-63, -39, 24, 51, -43, -7, 19, -68, -122, -151, -87, -78, 
-63, -43, 19, 53, -41, -12, 19, -73, -126, -156, -92, -87, 
-63, -43, 19, 53, -41, -12, 19, -78, -126, -161, -97, -87, 
-63, -48, 14, 56, -39, -17, 19, -82, -131, -161, -102, -92, 
-73, -48, 24, 61, -48, -12, 14, -92, -141, -170, -107, -107, 
-73, -53, 19, 63, -46, -17, 14, -92, -146, -175, -112, -112, 
-73, -53, 19, 63, -46, -17, 14, -92, -151, -180, -122, -117, 
-73, -53, 19, 63, -46, -17, 14, -92, -161, -185, -126, -122, 
-73, -53, 19, 63, -46, -17, 9, -97, -151, -185, -112, -126, 
-73, -53, 19, 63, -46, -17, 9, -97, -151, -185, -112, -112, 
-73, -53, 19, 63, -46, -17, 0, -97, -151, -185, -112, -107, 
-73, -48, 24, 61, -48, -12, 0, -97, -151, -195, -112, -102, 
-73, -39, 34, 56, -53, -2, 9, -97, -141, -175, -122, -112, 
-73, -34, 39, 53, -56, 2, 14, -97, -136, -175, -112, -112, 
-73, -34, 39, 53, -56, 2, 14, -97, -136, -175, -112, -112, 
-78, -39, 39, 58, -58, 0, 14, -97, -136, -170, -112, -112, 
-68, -39, 29, 53, -48, -4, 14, -92, -136, -180, -122, -112, 
-63, -39, 24, 51, -43, -7, 14, -92, -136, -180, -122, -112, 
-63, -43, 19, 53, -41, -12, 14, -92, -136, -180, -122, -112, 
-68, -43, 24, 56, -46, -9, 14, -92, -131, -175, -117, -112, 
-73, -58, 14, 65, -43, -21, 19, -82, -122, -165, -107, -102, 
-73, -63, 9, 68, -41, -26, 19, -82, -122, -165, -107, -102, 
-73, -58, 14, 65, -43, -21, 19, -82, -122, -165, -107, -102, 
-73, -63, 9, 68, -41, -26, 24, -82, -122, -165, -107, -97, 
-87, -43, 43, 65, -65, 0, 19, -92, -131, -175, -117, -107, 
-78, -53, 24, 65, -51, -14, 19, -92, -131, -175, -117, -102, 
-78, -58, 19, 68, -48, -19, 24, -92, -122, -175, -117, -102, 
-87, -39, 48, 63, -68, 4, 43, -78, -122, -180, -117, -107, 
-82, -14, 68, 48, -75, 26, 82, -29, -112, -175, -126, -122, 
-102, -14, 87, 58, -95, 36, 126, 29, -82, -156, -131, -126, 
-146, -39, 107, 92, -126, 34, 195, 82, -43, -136, -136, -151, 
-180, -34, 146, 107, -163, 56, 283, 180, 29, -107, -156, -180, 
-170, 19, 190, 75, -180, 104, 361, 307, 136, -39, -146, -190, 
-156, 82, 239, 36, -197, 161, 429, 453, 263, 58, -107, -175, 
-161, 146, 307, 7, -234, 226, 478, 610, 419, 195, -24, -131, 
-146, 204, 351, -29, -248, 278, 507, 741, 610, 361, 87, -78, 
-97, 268, 366, -85, -231, 317, 507, 785, 761, 527, 200, -14, 
-53, 331, 385, -139, -219, 358, 473, 727, 844, 663, 326, 58, 
-29, 419, 448, -195, -239, 434, 395, 585, 873, 795, 453, 165, 
4, 575, 570, -290, -283, 573, 248, 317, 834, 902, 605, 287, 
39, 751, 712, -395, -336, 732, 0, -78, 732, 1000, 795, 429, 
92, 893, 800, -492, -353, 846, -287, -463, 619, 1102, 980, 585, 
141, 990, 849, -566, -353, 919, -527, -732, 580, 1200, 1137, 727, 
185, 990, 805, -588, -309, 897, -683, -902, 561, 1278, 1259, 829, 
185, 873, 688, -529, -251, 780, -780, -1068, 414, 1166, 1254, 863, 
175, 678, 502, -427, -163, 590, -878, -1346, 39, 858, 1117, 829, 
165, 536, 370, -351, -102, 453, -985, -1732, -527, 370, 883, 761, 
141, 385, 244, -263, -51, 314, -1078, -2103, -1190, -263, 556, 644, 
122, 156, 34, -139, 43, 95, -1122, -2298, -1703, -922, 180, 483, 
141, -78, -219, -31, 180, -148, -1146, -2244, -1869, -1293, -126, 322, 
151, -239, -390, 43, 270, -314, -1190, -2117, -1825, -1395, -326, 204, 
151, -356, -507, 102, 329, -431, -1234, -2034, -1786, -1454, -458, 117, 
170, -448, -619, 139, 395, -534, -1244, -1947, -1732, -1464, -551, 43, 
204, -502, -707, 148, 456, -605, -1220, -1810, -1634, -1410, -585, 4, 
185, -517, -702, 165, 444, -610, -1190, -1708, -1566, -1356, -585, -9, 
161, -546, -707, 192, 434, -627, -1161, -1639, -1512, -1332, -585, -14, 
170, -580, -751, 204, 461, -666, -1122, -1532, -1415, -1268, -570, -34, 
170, -566, -736, 197, 453, -651, -1063, -1400, -1302, -1205, -566, -48, 
141, -522, -663, 190, 402, -592, -985, -1293, -1205, -1132, -546, -48, 
102, -483, -585, 190, 344, -534, -878, -1176, -1102, -1044, -517, -58, 
92, -453, -546, 180, 319, -500, -771, -1044, -1000, -961, -473, -68, 
92, -419, -512, 163, 302, -466, -683, -922, -902, -868, -434, -78, 
78, -356, -434, 139, 256, -395, -575, -795, -790, -785, -385, -78, 
63, -312, -375, 124, 219, -344, -453, -653, -673, -683, -346, -78, 
58, -307, -366, 124, 212, -336, -351, -517, -566, -610, -322, -87, 
43, -297, -341, 126, 192, -319, -273, -419, -478, -546, -302, -92, 
43, -258, -302, 107, 173, -280, -204, -341, -395, -478, -278, -82, 
34, -204, -239, 85, 136, -222, -117, -263, -322, -424, -248, -82, 
-9, -204, -195, 107, 92, -200, -48, -200, -258, -370, -219, -92, 
-48, -180, -131, 114, 41, -156, 0, -141, -214, -317, -185, -87, 
-29, -126, -97, 78, 34, -112, 39, -97, -180, -283, -161, -87, 
-4, -92, -87, 48, 41, -90, 58, -53, -146, -253, -146, -97, 
-14, -112, -97, 63, 41, -104, 68, -19, -122, -234, -141, -97, 
-19, -82, -63, 51, 21, -73, 92, 14, -97, -214, -136, -78, 
-14, -58, -43, 36, 14, -51, 117, 24, -68, -204, -126, -68, 
-29, -68, -39, 48, 4, -53, 122, 34, -63, -195, -141, -92, 
-63, -87, -24, 75, -19, -56, 131, 34, -53, -190, -151, -102, 
-78, -63, 14, 70, -46, -24, 136, 43, -48, -175, -131, -92, 
-68, -53, 14, 61, -41, -19, 151, 63, -39, -151, -97, -82, 
-53, -63, -9, 58, -21, -36, 161, 78, -29, -151, -92, -82, 
-39, -63, -24, 51, -7, -43, 165, 87, -24, -146, -97, -78, 
-39, -53, -14, 46, -12, -34, 170, 92, -19, -146, -92, -68, 
-39, -53, -14, 46, -12, -34, 175, 97, -4, -136, -87, -63, 
-43, -58, -14, 51, -14, -36, 190, 97, 4, -131, -87, -58, 
-58, -58, 0, 58, -29, -29, 190, 107, 4, -126, -97, -73, 
-68, -58, 9, 63, -39, -24, 195, 107, 4, -122, -102, -78, 
-68, -53, 14, 61, -41, -19, 195, 107, 9, -117, -102, -78, 
-58, -53, 4, 56, -31, -24, 200, 112, 9, -112, -92, -82, 
-58, -39, 19, 48, -39, -9, 200, 126, 19, -112, -82, -82, 
-53, -34, 19, 43, -36, -7, 195, 131, 24, -112, -82, -78, 
