I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-195, -107, 87, 151, -141, -9, -419, -1015, -1210, -761, -458, -146, 
-195, -107, 87, 151, -141, -9, -419, -1015, -1210, -761, -458, -146, 
-195, -107, 87, 151, -141, -9, -419, -1015, -1210, -761, -458, -146, 
-195, -107, 87, 151, -141, -9, -419, -1015, -1210, -761, -458, -146, 
-209, -141, 68, 175, -139, -36, -429, -966, -1161, -741, -473, -200, 
-224, -175, 48, 200, -136, -63, -429, -917, -1112, -732, -488, -244, 
-239, -209, 29, 224, -134, -90, -429, -868, -1063, -722, -502, -287, 
-253, -244, 9, 248, -131, -117, -429, -819, -1015, -712, -517, -331, 
-219, -244, -24, 231, -97, -134, -395, -727, -917, -649, -468, -317, 
-195, -244, -48, 219, -73, -146, -361, -634, -829, -585, -429, -302, 
-170, -244, -73, 207, -48, -158, -326, -541, -741, -522, -390, -287, 
-146, -244, -97, 195, -24, -170, -292, -448, -653, -458, -351, -273, 
-126, -214, -87, 170, -19, -151, -234, -346, -561, -390, -292, -239, 
-107, -195, -87, 151, -9, -141, -175, -253, -468, -322, -244, -214, 
-87, -175, -87, 131, 0, -131, -117, -161, -375, -253, -195, -190, 
-68, -156, -87, 112, 9, -122, -58, -68, -283, -185, -146, -165, 
-63, -141, -78, 102, 7, -109, -29, -24, -244, -156, -117, -151, 
-58, -136, -78, 97, 9, -107, -9, 9, -204, -126, -97, -136, 
-53, -131, -78, 92, 12, -104, 9, 43, -165, -97, -78, -122, 
-48, -126, -78, 87, 14, -102, 29, 78, -126, -68, -58, -107, 
-48, -122, -73, 85, 12, -97, 43, 92, -107, -53, -43, -102, 
-48, -117, -68, 82, 9, -92, 48, 97, -97, -48, -39, -97, 
-48, -112, -63, 80, 7, -87, 53, 102, -87, -43, -34, -92, 
-48, -107, -58, 78, 4, -82, 58, 107, -78, -39, -29, -87, 
-43, -97, -53, 70, 4, -75, 58, 112, -73, -34, -19, -78, 
-39, -97, -58, 68, 9, -78, 58, 117, -68, -29, -19, -78, 
-34, -97, -63, 65, 14, -80, 58, 122, -63, -24, -19, -78, 
-29, -97, -68, 63, 19, -82, 58, 126, -58, -19, -19, -78, 
-39, -97, -58, 68, 9, -78, 63, 136, -48, -9, -9, -78, 
-39, -97, -58, 68, 9, -78, 68, 136, -48, -9, -9, -78, 
-39, -97, -58, 68, 9, -78, 73, 136, -48, -9, -9, -78, 
-39, -97, -58, 68, 9, -78, 78, 136, -48, -9, -9, -78, 
