I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
888, -634, -1522, -126, 1205, -1078, -1093, -1747, -1893, -1542, -927, 1561, 
888, -634, -1522, -126, 1205, -1078, -1093, -1747, -1893, -1542, -927, 1561, 
888, -634, -1522, -126, 1205, -1078, -1093, -1747, -1893, -1542, -927, 1561, 
888, -634, -1522, -126, 1205, -1078, -1093, -1747, -1893, -1542, -927, 1561, 
858, -624, -1483, -117, 1171, -1054, -1024, -1629, -1751, -1439, -893, 1551, 
839, -614, -1454, -112, 1146, -1034, -956, -1522, -1620, -1346, -868, 1551, 
819, -605, -1424, -107, 1122, -1015, -888, -1415, -1488, -1254, -844, 1551, 
800, -595, -1395, -102, 1098, -995, -819, -1307, -1356, -1161, -819, 1551, 
771, -561, -1332, -104, 1051, -946, -746, -1185, -1215, -1063, -785, 1546, 
751, -536, -1288, -107, 1019, -912, -683, -1073, -1083, -976, -751, 1542, 
732, -512, -1244, -109, 988, -878, -619, -961, -951, -888, -717, 1537, 
712, -488, -1200, -112, 956, -844, -556, -849, -819, -800, -683, 1532, 
668, -463, -1132, -102, 900, -797, -473, -717, -678, -712, -683, 1493, 
624, -448, -1073, -87, 849, -761, -390, -595, -546, -634, -683, 1464, 
580, -434, -1015, -73, 797, -724, -307, -473, -414, -556, -683, 1434, 
536, -419, -956, -58, 746, -688, -224, -351, -283, -478, -683, 1405, 
473, -395, -868, -39, 671, -631, -126, -214, -156, -414, -712, 1337, 
409, -380, -790, -14, 600, -585, -39, -87, -29, -351, -732, 1278, 
346, -366, -712, 9, 529, -539, 48, 39, 97, -287, -751, 1220, 
283, -351, -634, 34, 458, -492, 136, 165, 224, -224, -771, 1161, 
204, -331, -536, 63, 370, -434, 234, 297, 351, -165, -810, 1088, 
126, -322, -448, 97, 287, -385, 331, 419, 468, -107, -839, 1024, 
48, -312, -361, 131, 204, -336, 429, 541, 585, -48, -868, 961, 
-29, -302, -273, 165, 122, -287, 527, 663, 702, 9, -897, 897, 
-92, -287, -195, 190, 51, -241, 610, 771, 800, 68, -917, 844, 
-156, -273, -117, 214, -19, -195, 683, 878, 897, 117, -936, 800, 
-219, -258, -39, 239, -90, -148, 756, 985, 995, 165, -956, 756, 
-283, -244, 39, 263, -161, -102, 829, 1093, 1093, 214, -976, 712, 
-351, -224, 126, 287, -239, -48, 893, 1190, 1180, 273, -976, 678, 
-419, -214, 204, 317, -312, -4, 956, 1278, 1268, 322, -976, 644, 
-488, -204, 283, 346, -385, 39, 1019, 1366, 1356, 370, -976, 610, 
-556, -195, 361, 375, -458, 82, 1083, 1454, 1444, 419, -976, 575, 
-600, -175, 424, 387, -512, 124, 1132, 1532, 1527, 473, -966, 561, 
-644, -165, 478, 405, -561, 156, 1171, 1610, 1600, 527, -956, 546, 
-688, -156, 531, 422, -610, 187, 1210, 1688, 1673, 580, -946, 531, 
-732, -146, 585, 439, -658, 219, 1249, 1766, 1747, 634, -936, 517, 
-756, -126, 629, 441, -692, 251, 1278, 1825, 1815, 692, -893, 517, 
-771, -107, 663, 439, -717, 278, 1298, 1873, 1883, 751, -858, 517, 
-785, -87, 697, 436, -741, 305, 1317, 1922, 1952, 810, -824, 517, 
-800, -68, 732, 434, -766, 331, 1337, 1971, 2020, 868, -790, 517, 
-805, -53, 751, 429, -778, 348, 1342, 2010, 2074, 922, -756, 527, 
-810, -39, 771, 424, -790, 366, 1346, 2039, 2117, 976, -722, 536, 
-814, -24, 790, 419, -802, 383, 1351, 2069, 2161, 1029, -688, 546, 
-819, -9, 810, 414, -814, 400, 1356, 2098, 2205, 1083, -653, 556, 
-824, 9, 834, 407, -829, 422, 1351, 2108, 2235, 1122, -614, 566, 
-829, 29, 858, 400, -844, 444, 1346, 2117, 2264, 1161, -575, 575, 
-834, 48, 883, 392, -858, 466, 1342, 2127, 2293, 1200, -536, 585, 
-839, 68, 907, 385, -873, 488, 1337, 2137, 2322, 1239, -497, 595, 
-839, 78, 917, 380, -878, 497, 1332, 2127, 2342, 1273, -458, 614, 
-839, 87, 927, 375, -883, 507, 1327, 2127, 2352, 1307, -429, 624, 
-839, 97, 936, 370, -888, 517, 1322, 2127, 2361, 1342, -400, 634, 
-839, 107, 946, 366, -893, 527, 1317, 2127, 2371, 1376, -370, 644, 
-839, 122, 961, 358, -900, 541, 1302, 2103, 2371, 1400, -326, 653, 
-839, 136, 976, 351, -907, 556, 1288, 2088, 2371, 1424, -292, 663, 
-814, 161, 976, 326, -895, 568, 1259, 2054, 2361, 1473, -229, 702, 
-805, 185, 990, 309, -897, 588, 1224, 2010, 2352, 1517, -161, 732, 
-800, 195, 995, 302, -897, 595, 1185, 1976, 2347, 1546, -122, 766, 
-785, 209, 995, 287, -890, 602, 1166, 1942, 2322, 1561, -78, 790, 
-771, 219, 990, 275, -880, 605, 1132, 1908, 2293, 1571, -24, 814, 
-751, 234, 985, 258, -868, 610, 1098, 1869, 2269, 1581, 24, 839, 
-746, 239, 985, 253, -866, 612, 1073, 1830, 2235, 1586, 73, 868, 
-736, 248, 985, 244, -861, 617, 1034, 1786, 2210, 1586, 122, 897, 
-707, 253, 961, 226, -834, 607, 1005, 1732, 2176, 1590, 165, 912, 
-702, 258, 961, 222, -832, 610, 976, 1678, 2137, 1590, 204, 941, 
-683, 263, 946, 209, -814, 605, 941, 1644, 2098, 1600, 244, 980, 
-653, 268, 922, 192, -788, 595, 912, 1605, 2054, 1600, 273, 1000, 
-624, 273, 897, 175, -761, 585, 878, 1571, 2015, 1586, 302, 1029, 
-614, 268, 883, 173, -749, 575, 849, 1527, 1961, 1576, 341, 1078, 
-600, 268, 868, 165, -734, 568, 805, 1464, 1912, 1551, 380, 1102, 
-575, 278, 854, 148, -714, 566, 766, 1400, 1859, 1532, 424, 1132, 
-541, 287, 829, 126, -685, 558, 736, 1332, 1815, 1517, 453, 1156, 
-527, 278, 805, 124, -666, 541, 707, 1278, 1756, 1503, 483, 1185, 
-502, 268, 771, 117, -636, 519, 678, 1224, 1698, 1468, 502, 1205, 
-468, 273, 741, 97, -605, 507, 639, 1171, 1639, 1429, 507, 1244, 
-448, 268, 717, 90, -583, 492, 619, 1146, 1590, 1400, 522, 1273, 
-434, 244, 678, 95, -556, 461, 600, 1132, 1546, 1371, 531, 1302, 
-405, 239, 644, 82, -524, 441, 580, 1132, 1512, 1337, 546, 1307, 
-390, 224, 614, 82, -502, 419, 580, 1137, 1483, 1312, 561, 1332, 
-375, 214, 590, 80, -483, 402, 575, 1137, 1468, 1283, 580, 1351, 
-346, 214, 561, 65, -453, 387, 600, 1190, 1483, 1293, 600, 1371, 
-317, 224, 541, 46, -429, 383, 639, 1278, 1537, 1317, 624, 1390, 
-287, 224, 512, 31, -400, 368, 649, 1337, 1566, 1322, 644, 1415, 
-244, 224, 468, 9, -356, 346, 619, 1346, 1546, 1312, 663, 1459, 
-204, 224, 429, -9, -317, 326, 575, 1332, 1522, 1293, 663, 1488, 
-185, 219, 405, -17, -295, 312, 527, 1263, 1449, 1244, 658, 1493, 
-175, 229, 405, -26, -290, 317, 468, 1122, 1327, 1190, 653, 1522, 
-170, 244, 414, -36, -292, 329, 395, 985, 1200, 1122, 649, 1532, 
-136, 244, 380, -53, -258, 312, 336, 863, 1073, 1049, 619, 1532, 
-122, 234, 356, -56, -239, 295, 273, 741, 922, 961, 600, 1527, 
-107, 219, 326, -56, -217, 273, 209, 639, 780, 878, 580, 1542, 
-82, 214, 297, -65, -190, 256, 146, 546, 653, 819, 561, 1561, 
-43, 209, 253, -82, -148, 231, 58, 409, 502, 736, 541, 1586, 
-4, 200, 204, -97, -104, 202, -131, 170, 273, 624, 527, 1600, 
34, 200, 165, -117, -65, 183, -361, -131, 29, 522, 522, 1634, 
53, 200, 146, -126, -46, 173, -551, -424, -209, 419, 502, 1664, 
92, 180, 87, -136, 2, 134, -692, -702, -448, 297, 473, 1688, 
131, 170, 39, -151, 46, 104, -795, -907, -644, 209, 473, 1727, 
180, 146, -34, -163, 107, 56, -883, -1039, -785, 146, 483, 1751, 
224, 107, -117, -165, 170, -4, -922, -1112, -912, 78, 478, 1786, 
258, 68, -190, -163, 224, -61, -956, -1210, -1024, 14, 488, 1815, 
283, 48, -234, -165, 258, -92, -1019, -1351, -1117, -24, 507, 1849, 
312, 58, -253, -185, 283, -97, -1088, -1507, -1210, -48, 536, 1883, 
341, 63, -278, -202, 309, -107, -1146, -1625, -1302, -87, 551, 1917, 
385, 63, -322, -224, 353, -129, -1224, -1771, -1434, -161, 561, 1956, 
429, 58, -370, -244, 400, -156, -1322, -1961, -1629, -283, 566, 2005, 
483, 34, -448, -258, 466, -207, -1410, -2142, -1873, -453, 541, 2034, 
541, 14, -527, -278, 534, -256, -1498, -2293, -2122, -639, 512, 2054, 
585, -9, -595, -287, 590, -302, -1561, -2430, -2352, -814, 488, 2098, 
614, -53, -668, -280, 641, -361, -1629, -2581, -2566, -1005, 424, 2122, 
658, -92, -751, -283, 705, -422, -1693, -2713, -2752, -1166, 366, 2122, 
692, -141, -834, -275, 763, -488, -1742, -2830, -2879, -1283, 322, 2137, 
722, -195, -917, -263, 819, -556, -1805, -2967, -3010, -1390, 283, 2161, 
756, -229, -985, -263, 871, -607, -1883, -3132, -3157, -1527, 224, 2161, 
766, -229, -995, -268, 880, -612, -1961, -3303, -3303, -1664, 146, 2161, 
775, -239, -1015, -268, 895, -627, -2020, -3464, -3445, -1805, 82, 2171, 
785, -258, -1044, -263, 915, -651, -2069, -3601, -3567, -1937, 14, 2186, 
800, -273, -1073, -263, 936, -673, -2122, -3723, -3684, -2059, -48, 2196, 
810, -297, -1107, -256, 958, -702, -2171, -3816, -3777, -2161, -112, 2215, 
805, -322, -1127, -241, 966, -724, -2196, -3869, -3825, -2230, -161, 2210, 
819, -351, -1171, -234, 995, -761, -2215, -3918, -3860, -2283, -209, 2220, 
