I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
87, 1912, 1825, -1000, -868, 1869, -1278, -1952, -1054, 341, 878, 1307, 
87, 1912, 1825, -1000, -868, 1869, -1278, -1952, -1054, 341, 878, 1307, 
87, 1912, 1825, -1000, -868, 1869, -1278, -1952, -1054, 341, 878, 1307, 
87, 1912, 1825, -1000, -868, 1869, -1278, -1952, -1054, 341, 878, 1307, 
102, 1922, 1820, -1012, -858, 1871, -1268, -1908, -1063, 307, 897, 1342, 
107, 1922, 1815, -1015, -854, 1869, -1268, -1864, -1063, 283, 907, 1366, 
112, 1922, 1810, -1017, -849, 1866, -1268, -1820, -1063, 258, 917, 1390, 
117, 1922, 1805, -1019, -844, 1864, -1268, -1776, -1063, 234, 927, 1415, 
97, 1810, 1712, -954, -807, 1761, -1200, -1708, -1068, 126, 810, 1307, 
78, 1708, 1629, -893, -775, 1668, -1132, -1639, -1073, 29, 702, 1210, 
58, 1605, 1546, -832, -744, 1576, -1063, -1571, -1078, -68, 595, 1112, 
39, 1503, 1464, -771, -712, 1483, -995, -1503, -1083, -165, 488, 1015, 
9, 1371, 1361, -690, -675, 1366, -893, -1366, -1019, -224, 361, 868, 
-9, 1249, 1259, -619, -634, 1254, -790, -1239, -956, -273, 244, 722, 
-29, 1127, 1156, -549, -592, 1141, -688, -1112, -893, -322, 126, 575, 
-48, 1005, 1054, -478, -551, 1029, -585, -985, -829, -370, 9, 429, 
-58, 873, 932, -407, -495, 902, -488, -844, -712, -326, -24, 322, 
-58, 751, 810, -346, -434, 780, -400, -702, -595, -292, -58, 224, 
-58, 629, 688, -285, -373, 658, -312, -561, -478, -258, -92, 126, 
-58, 507, 566, -224, -312, 536, -224, -419, -361, -224, -126, 29, 
-53, 385, 439, -165, -246, 412, -165, -312, -287, -180, -117, -14, 
-48, 263, 312, -107, -180, 287, -117, -214, -214, -146, -117, -48, 
-43, 141, 185, -48, -114, 163, -68, -117, -141, -112, -117, -82, 
-39, 19, 58, 9, -48, 39, -19, -19, -68, -78, -117, -117, 
-34, -14, 19, 24, -26, 2, 4, 4, -43, -63, -107, -126, 
-29, -48, -19, 39, -4, -34, 19, 29, -19, -58, -107, -136, 
-24, -82, -58, 53, 17, -70, 34, 53, 4, -53, -107, -146, 
-19, -117, -97, 68, 39, -107, 48, 78, 29, -48, -107, -156, 
-19, -126, -107, 73, 43, -117, 53, 87, 29, -58, -122, -165, 
-19, -136, -117, 78, 48, -126, 58, 97, 29, -58, -126, -175, 
-19, -146, -126, 82, 53, -136, 63, 107, 29, -58, -131, -185, 
-19, -156, -136, 87, 58, -146, 68, 117, 29, -58, -136, -195, 
-29, -170, -141, 100, 56, -156, 82, 131, 43, -58, -126, -204, 
-29, -175, -146, 102, 58, -161, 87, 136, 48, -58, -126, -204, 
-29, -180, -151, 104, 61, -165, 92, 141, 53, -58, -126, -204, 
-29, -185, -156, 107, 63, -170, 97, 146, 58, -58, -126, -204, 
-29, -200, -170, 114, 70, -185, 107, 156, 63, -48, -136, -214, 
-29, -204, -175, 117, 73, -190, 107, 165, 68, -48, -136, -214, 
-29, -209, -180, 119, 75, -195, 107, 175, 73, -48, -136, -214, 
-29, -214, -185, 122, 78, -200, 107, 185, 78, -48, -136, -214, 
-19, -224, -204, 122, 92, -214, 107, 185, 87, -48, -146, -214, 
-19, -224, -204, 122, 92, -214, 107, 185, 87, -48, -146, -214, 
-19, -224, -204, 122, 92, -214, 107, 185, 87, -48, -146, -214, 
-19, -224, -204, 122, 92, -214, 107, 185, 87, -48, -146, -214, 
-9, -229, -219, 119, 104, -224, 107, 190, 97, -39, -146, -219, 
-9, -234, -224, 122, 107, -229, 107, 195, 97, -39, -146, -224, 
-9, -239, -229, 124, 109, -234, 107, 200, 97, -39, -146, -229, 
-9, -244, -234, 126, 112, -239, 107, 204, 97, -39, -146, -234, 
-9, -244, -234, 126, 112, -239, 112, 219, 112, -29, -136, -234, 
-9, -244, -234, 126, 112, -239, 117, 224, 117, -29, -136, -234, 
-9, -244, -234, 126, 112, -239, 122, 229, 122, -29, -136, -234, 
-9, -244, -234, 126, 112, -239, 126, 234, 126, -29, -136, -234, 
-9, -248, -239, 129, 114, -244, 136, 239, 136, -19, -136, -224, 
-9, -253, -244, 131, 117, -248, 136, 244, 136, -19, -136, -224, 
-9, -258, -248, 134, 119, -253, 136, 248, 136, -19, -136, -224, 
-9, -263, -253, 136, 122, -258, 136, 253, 136, -19, -136, -224, 
-4, -253, -248, 129, 122, -251, 136, 268, 151, -9, -131, -214, 
0, -253, -253, 126, 126, -253, 136, 273, 156, -9, -126, -214, 
4, -253, -258, 124, 131, -256, 136, 278, 161, -9, -122, -214, 
9, -253, -263, 122, 136, -258, 136, 283, 165, -9, -117, -214, 
14, -253, -268, 119, 141, -261, 136, 292, 170, -4, -107, -204, 
19, -253, -273, 117, 146, -263, 136, 302, 175, 0, -107, -204, 
24, -253, -278, 114, 151, -265, 136, 312, 180, 4, -107, -204, 
29, -253, -283, 112, 156, -268, 136, 322, 185, 9, -107, -204, 
39, -253, -292, 107, 165, -273, 146, 336, 190, 19, -97, -204, 
39, -253, -292, 107, 165, -273, 146, 341, 195, 19, -97, -204, 
39, -253, -292, 107, 165, -273, 146, 346, 200, 19, -97, -204, 
39, -253, -292, 107, 165, -273, 146, 351, 204, 19, -97, -204, 
43, -253, -297, 104, 170, -275, 141, 366, 209, 24, -87, -214, 
48, -253, -302, 102, 175, -278, 136, 370, 214, 29, -87, -214, 
53, -253, -307, 100, 180, -280, 131, 375, 219, 34, -87, -214, 
58, -253, -312, 97, 185, -283, 126, 380, 224, 39, -87, -214, 
58, -263, -322, 102, 190, -292, 112, 385, 229, 48, -78, -214, 
58, -273, -331, 107, 195, -302, 107, 390, 234, 48, -78, -214, 
58, -283, -341, 112, 200, -312, 102, 395, 239, 48, -78, -214, 
58, -292, -351, 117, 204, -322, 97, 400, 244, 48, -78, -214, 
63, -283, -346, 109, 204, -314, 87, 414, 258, 53, -68, -209, 
68, -283, -351, 107, 209, -317, 87, 419, 263, 58, -68, -204, 
73, -283, -356, 104, 214, -319, 87, 424, 268, 63, -68, -200, 
78, -283, -361, 102, 219, -322, 87, 429, 273, 68, -68, -195, 
92, -297, -390, 102, 241, -344, 92, 444, 273, 58, -68, -204, 
97, -312, -409, 107, 253, -361, 97, 448, 273, 58, -68, -204, 
102, -326, -429, 112, 265, -378, 102, 453, 273, 58, -68, -204, 
107, -341, -448, 117, 278, -395, 107, 458, 273, 58, -68, -204, 
117, -356, -473, 119, 295, -414, 117, 473, 287, 58, -73, -219, 
117, -370, -488, 126, 302, -429, 117, 488, 292, 58, -78, -224, 
117, -385, -502, 134, 309, -444, 117, 502, 297, 58, -82, -229, 
117, -400, -517, 141, 317, -458, 117, 517, 302, 58, -87, -234, 
126, -409, -536, 141, 331, -473, 126, 531, 312, 73, -82, -224, 
126, -419, -546, 146, 336, -483, 136, 546, 322, 78, -78, -224, 
126, -429, -556, 151, 341, -492, 146, 561, 331, 82, -73, -224, 
126, -439, -566, 156, 346, -502, 156, 575, 341, 87, -68, -224, 
122, -458, -580, 168, 351, -519, 170, 595, 351, 78, -78, -229, 
117, -478, -595, 180, 356, -536, 185, 614, 361, 78, -78, -234, 
112, -497, -610, 192, 361, -553, 200, 634, 370, 78, -78, -239, 
107, -517, -624, 204, 366, -570, 214, 653, 380, 78, -78, -244, 
92, -536, -629, 222, 361, -583, 229, 663, 380, 73, -82, -263, 
87, -556, -644, 234, 366, -600, 234, 673, 380, 68, -87, -273, 
82, -575, -658, 246, 370, -617, 239, 683, 380, 63, -92, -283, 
78, -595, -673, 258, 375, -634, 244, 692, 380, 58, -97, -292, 
87, -624, -712, 268, 400, -668, 258, 717, 400, 58, -102, -302, 
87, -644, -732, 278, 409, -688, 263, 732, 409, 58, -107, -312, 
87, -663, -751, 287, 419, -707, 268, 746, 419, 58, -112, -322, 
87, -683, -771, 297, 429, -727, 273, 761, 429, 58, -117, -331, 
97, -707, -805, 305, 451, -756, 283, 785, 444, 68, -117, -336, 
97, -722, -819, 312, 458, -771, 292, 800, 448, 68, -117, -341, 
97, -736, -834, 319, 466, -785, 302, 814, 453, 68, -117, -346, 
97, -751, -849, 326, 473, -800, 312, 829, 458, 68, -117, -351, 
97, -771, -868, 336, 483, -819, 317, 844, 473, 73, -112, -341, 
