I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-63, -48, 14, 56, -39, -17, 48, -4, -34, -92, 0, 39, 
-63, -48, 14, 56, -39, -17, 48, -4, -34, -92, 0, 39, 
-63, -48, 14, 56, -39, -17, 48, -4, -29, -92, 0, 39, 
-58, -48, 9, 53, -34, -19, 48, -4, -29, -92, 0, 39, 
-68, -39, 29, 53, -48, -4, 48, -14, -24, -92, 0, 39, 
-68, -39, 29, 53, -48, -4, 48, -14, -24, -97, 0, 39, 
-68, -39, 29, 53, -48, -4, 48, -14, -24, -97, -4, 39, 
-68, -39, 29, 53, -48, -4, 48, -9, -24, -97, -4, 39, 
-63, -48, 14, 56, -39, -17, 48, -9, -24, -97, 0, 48, 
-63, -43, 19, 53, -41, -12, 48, -9, -24, -97, 0, 48, 
-58, -43, 14, 51, -36, -14, 48, -9, -24, -97, 0, 48, 
-58, -43, 14, 51, -36, -14, 48, -9, -24, -97, 0, 48, 
-68, -43, 24, 56, -46, -9, 48, -9, -24, -97, 9, 48, 
-68, -43, 24, 56, -46, -9, 48, -9, -24, -92, 9, 48, 
-68, -43, 24, 56, -46, -9, 48, -9, -24, -92, 9, 53, 
-68, -48, 19, 58, -43, -14, 53, -14, -24, -92, 9, 53, 
-68, -39, 29, 53, -48, -4, 53, -4, -14, -92, 0, 48, 
-68, -39, 29, 53, -48, -4, 43, -9, -14, -92, -9, 48, 
-68, -39, 29, 53, -48, -4, 53, -4, -19, -92, -9, 58, 
-78, -34, 43, 56, -61, 4, 68, 0, -19, -92, -4, 58, 
-82, -19, 63, 51, -73, 21, 78, 14, -9, -92, 0, 53, 
-107, -9, 97, 58, -102, 43, 107, 43, 9, -87, -4, 58, 
-141, -4, 136, 73, -139, 65, 151, 82, 34, -73, -4, 58, 
-156, 14, 170, 70, -163, 92, 180, 112, 53, -58, 9, 68, 
-141, 14, 156, 63, -148, 85, 180, 131, 78, -39, 19, 73, 
-117, 14, 131, 51, -124, 73, 175, 146, 82, -29, 24, 78, 
-92, 4, 97, 43, -95, 51, 165, 165, 97, -4, 43, 92, 
-43, 14, 58, 14, -51, 36, 161, 209, 151, 53, 87, 131, 
14, 34, 19, -24, -2, 26, 151, 292, 219, 141, 161, 185, 
92, 39, -53, -65, 73, -7, 117, 405, 317, 248, 273, 263, 
200, 53, -146, -126, 173, -46, 92, 536, 429, 380, 390, 356, 
331, 87, -244, -209, 287, -78, 82, 692, 551, 531, 522, 473, 
453, 156, -297, -305, 375, -70, 34, 829, 692, 697, 678, 600, 
595, 248, -346, -422, 470, -48, -29, 922, 814, 849, 829, 722, 
727, 356, -370, -541, 549, -7, -112, 976, 927, 990, 966, 849, 
854, 439, -414, -646, 634, 12, -185, 1005, 1015, 1112, 1098, 961, 
976, 507, -468, -741, 722, 19, -248, 1019, 1083, 1215, 1205, 1058, 
1044, 561, -483, -802, 763, 39, -312, 941, 1058, 1210, 1224, 1107, 
1073, 590, -483, -832, 778, 53, -356, 775, 917, 1044, 1127, 1049, 
1063, 585, -478, -824, 771, 53, -390, 566, 707, 810, 961, 941, 
1000, 556, -444, -778, 722, 56, -409, 336, 517, 590, 780, 824, 
912, 483, -429, -697, 671, 26, -419, 151, 336, 395, 600, 692, 
795, 405, -390, -600, 592, 7, -405, 0, 200, 229, 439, 566, 
644, 351, -292, -497, 468, 29, -356, -126, 82, 97, 322, 468, 
468, 312, -156, -390, 312, 78, -292, -253, 9, 0, 224, 395, 
292, 258, -34, -275, 163, 112, -239, -400, -63, -73, 141, 336, 
165, 170, 4, -168, 80, 87, -209, -546, -146, -161, 68, 258, 
68, 102, 34, -85, 17, 68, -229, -619, -209, -214, 14, 204, 
-4, 43, 48, -19, -26, 46, -258, -619, -234, -244, -24, 156, 
-78, -14, 63, 46, -70, 24, -234, -566, -244, -253, -68, 102, 
-117, -24, 92, 70, -104, 34, -170, -497, -229, -268, -87, 58, 
-122, 4, 126, 58, -124, 65, -126, -400, -185, -244, -87, 58, 
-117, 34, 151, 41, -134, 92, -87, -317, -156, -209, -73, 63, 
-112, 34, 146, 39, -129, 90, -53, -263, -126, -185, -68, 63, 
-97, 9, 107, 43, -102, 58, -34, -209, -117, -165, -53, 78, 
-82, -9, 73, 46, -78, 31, -9, -151, -92, -141, -19, 92, 
-63, -9, 53, 36, -58, 21, 4, -117, -58, -117, -9, 112, 
-53, 4, 58, 24, -56, 31, 19, -87, -39, -107, 0, 122, 
-53, 0, 53, 26, -53, 26, 19, -78, -29, -107, 4, 112, 
-53, 9, 63, 21, -58, 36, 24, -68, -29, -107, 0, 112, 
-53, 4, 58, 24, -56, 31, 34, -68, -39, -107, -19, 97, 
-68, -4, 63, 36, -65, 29, 39, -63, -48, -112, -29, 87, 
-68, -14, 53, 41, -61, 19, 39, -58, -48, -117, -29, 87, 
-63, -24, 39, 43, -51, 7, 43, -48, -43, -122, -24, 92, 
-63, -29, 34, 46, -48, 2, 43, -43, -43, -122, -24, 92, 
-63, -29, 34, 46, -48, 2, 43, -43, -34, -107, -24, 102, 
-68, -29, 39, 48, -53, 4, 43, -43, -29, -107, -24, 102, 
-68, -24, 43, 46, -56, 9, 43, -39, -29, -107, -24, 97, 
-68, -24, 43, 46, -56, 9, 43, -39, -29, -112, -24, 97, 
-68, -24, 43, 46, -56, 9, 48, -39, -34, -112, -34, 87, 
-68, -24, 43, 46, -56, 9, 48, -39, -34, -112, -34, 87, 
-68, -24, 43, 46, -56, 9, 48, -39, -34, -112, -34, 87, 
-63, -24, 39, 43, -51, 7, 48, -39, -34, -112, -34, 87, 
