I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-58, 1405, 1464, -673, -761, 1434, -790, -1883, 175, 897, 829, 575, 
-58, 1434, 1493, -688, -775, 1464, -858, -1961, 117, 907, 839, 575, 
-58, 1473, 1532, -707, -795, 1503, -936, -2000, 117, 936, 888, 595, 
-58, 1512, 1571, -727, -814, 1542, -1015, -2049, 126, 985, 917, 614, 
-48, 1542, 1590, -746, -819, 1566, -1093, -2117, 97, 985, 936, 624, 
-48, 1551, 1600, -751, -824, 1576, -1161, -2156, 58, 1005, 966, 634, 
-39, 1581, 1620, -771, -829, 1600, -1220, -2166, 48, 1044, 1005, 644, 
-29, 1590, 1620, -780, -824, 1605, -1278, -2196, 0, 1063, 1034, 663, 
0, 1561, 1561, -780, -780, 1561, -1356, -2215, -107, 1063, 1034, 673, 
19, 1542, 1522, -780, -751, 1532, -1405, -2215, -195, 1054, 1044, 673, 
39, 1542, 1503, -790, -732, 1522, -1444, -2196, -253, 1083, 1073, 683, 
58, 1542, 1483, -800, -712, 1512, -1483, -2176, -312, 1112, 1102, 702, 
58, 1532, 1473, -795, -707, 1503, -1503, -2186, -390, 1132, 1132, 702, 
68, 1532, 1464, -800, -697, 1498, -1503, -2166, -468, 1141, 1151, 712, 
68, 1542, 1473, -805, -702, 1507, -1493, -2117, -527, 1171, 1200, 732, 
78, 1551, 1473, -814, -697, 1512, -1473, -2049, -575, 1200, 1239, 761, 
87, 1532, 1444, -810, -678, 1488, -1424, -1961, -624, 1200, 1249, 761, 
78, 1483, 1405, -780, -663, 1444, -1346, -1864, -673, 1180, 1229, 732, 
68, 1444, 1376, -756, -653, 1410, -1268, -1776, -722, 1122, 1180, 692, 
68, 1395, 1327, -732, -629, 1361, -1180, -1698, -751, 1063, 1132, 644, 
68, 1346, 1278, -707, -605, 1312, -1063, -1571, -732, 1005, 1083, 575, 
48, 1259, 1210, -653, -580, 1234, -936, -1424, -673, 917, 995, 507, 
29, 1151, 1122, -590, -546, 1137, -819, -1278, -624, 800, 878, 429, 
29, 1015, 985, -522, -478, 1000, -692, -1132, -556, 673, 761, 361, 
29, 858, 829, -444, -400, 844, -585, -995, -507, 536, 644, 292, 
19, 702, 683, -361, -331, 692, -468, -868, -458, 390, 488, 204, 
19, 517, 497, -268, -239, 507, -361, -771, -419, 195, 312, 97, 
19, 351, 331, -185, -156, 341, -263, -683, -380, 19, 156, 0, 
29, 214, 185, -122, -78, 200, -185, -595, -331, -58, 39, -68, 
29, 87, 58, -58, -14, 73, -117, -497, -253, -78, -29, -117, 
29, -9, -39, -9, 34, -24, -58, -409, -204, -87, -87, -165, 
29, -78, -107, 24, 68, -92, -19, -341, -175, -107, -136, -195, 
29, -126, -156, 48, 92, -141, 9, -283, -165, -136, -165, -214, 
19, -156, -175, 68, 97, -165, 19, -204, -146, -156, -175, -214, 
19, -165, -185, 73, 102, -175, 29, -126, -136, -165, -195, -224, 
19, -165, -185, 73, 102, -175, 39, -58, -117, -175, -204, -224, 
19, -175, -195, 78, 107, -185, 39, 9, -97, -185, -224, -224, 
19, -195, -214, 87, 117, -204, 29, 78, -87, -204, -244, -224, 
19, -204, -224, 92, 122, -214, 19, 165, -87, -234, -263, -224, 
19, -214, -234, 97, 126, -224, 9, 244, -87, -244, -283, -224, 
19, -224, -244, 102, 131, -234, -19, 322, -78, -253, -292, -224, 
19, -224, -244, 102, 131, -234, -39, 390, -78, -263, -302, -214, 
19, -224, -244, 102, 131, -234, -58, 458, -58, -263, -302, -214, 
19, -224, -244, 102, 131, -234, -58, 517, -48, -263, -302, -204, 
19, -234, -253, 107, 136, -244, -58, 566, -39, -263, -302, -204, 
29, -224, -253, 97, 141, -239, -58, 575, -39, -273, -302, -204, 
29, -214, -244, 92, 136, -229, -68, 585, -48, -283, -312, -214, 
29, -214, -244, 92, 136, -229, -78, 561, -58, -273, -312, -209, 
29, -214, -244, 92, 136, -229, -78, 546, -58, -273, -312, -204, 
29, -214, -244, 92, 136, -229, -78, 531, -58, -273, -312, -200, 
29, -214, -244, 92, 136, -229, -78, 517, -58, -273, -312, -195, 
39, -224, -263, 92, 151, -244, -68, 453, -68, -258, -302, -185, 
39, -224, -263, 92, 151, -244, -68, 400, -78, -253, -302, -185, 
39, -224, -263, 92, 151, -244, -68, 346, -87, -248, -302, -185, 
