I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-43,-92,-48,68,2,-70,73,78,-97,-68,126,-97, 
-43,-92,-48,68,2,-70,73,78,-97,-68,126,-97, 
-43,-92,-48,68,2,-70,78,78,-97,-68,126,-97, 
-43,-92,-48,68,2,-70,78,82,-92,-68,126,-97, 
-43,-102,-58,73,7,-80,78,82,-92,-63,122,-97, 
-39,-102,-63,70,12,-82,78,87,-92,-58,122,-97, 
-39,-97,-58,68,9,-78,78,87,-92,-58,122,-97, 
-43,-97,-53,70,4,-75,78,87,-87,-53,122,-92, 
-43,-97,-53,70,4,-75,82,92,-87,-63,122,-102, 
-39,-97,-58,68,9,-78,82,92,-87,-68,122,-102, 
-39,-97,-58,68,9,-78,82,97,-87,-68,122,-102, 
-39,-92,-53,65,7,-73,82,97,-78,-68,122,-102, 
-34,-92,-58,63,12,-75,92,107,-78,-63,126,-107, 
-34,-87,-53,61,9,-70,92,107,-78,-63,126,-112, 
-34,-87,-53,61,9,-70,92,107,-78,-58,126,-117, 
-34,-87,-53,61,9,-70,92,107,-78,-58,126,-122, 
-43,-92,-48,68,2,-70,87,117,-87,-58,126,-112, 
-43,-97,-53,70,4,-75,87,122,-78,-58,131,-107, 
-43,-97,-53,70,4,-75,92,126,-78,-53,131,-107, 
-43,-102,-58,73,7,-80,92,126,-78,-53,136,-102, 
-29,-92,-63,61,17,-78,82,131,-73,-63,126,-112, 
-29,-87,-58,58,14,-73,82,136,-68,-58,126,-112, 
-29,-82,-53,56,12,-68,82,136,-68,-58,126,-112, 
-29,-73,-43,51,7,-58,82,141,-68,-53,131,-112, 
-29,-63,-34,46,2,-48,87,156,-58,-43,131,-97, 
-24,-63,-39,43,7,-51,97,161,-53,-43,136,-97, 
-24,-58,-34,41,4,-46,102,165,-53,-39,136,-92, 
-24,-53,-29,39,2,-41,107,170,-43,-34,141,-92, 
-19,-53,-34,36,7,-43,97,175,-43,-34,131,-97, 
-19,-53,-34,36,7,-43,97,180,-43,-29,131,-97, 
-19,-53,-34,36,7,-43,102,185,-39,-29,136,-97, 
-19,-53,-34,36,7,-43,102,195,-29,-29,136,-92, 
-29,-58,-29,43,0,-43,102,209,-29,-24,136,-82, 
-29,-58,-29,43,0,-43,102,214,-29,-19,141,-78, 
-29,-58,-29,43,0,-43,107,219,-29,-19,141,-78, 
-29,-53,-24,41,-2,-39,107,224,-19,-14,151,-73, 
-14,-34,-19,24,2,-26,117,229,-14,-9,161,-73, 
-14,-29,-14,21,0,-21,117,234,-9,-4,165,-68, 
-14,-24,-9,19,-2,-17,117,239,-4,-4,165,-68, 
-14,-24,-9,19,-2,-17,117,244,-4,-4,170,-63, 
-9,-34,-24,21,7,-29,122,253,-4,0,175,-63, 
-9,-29,-19,19,4,-24,122,268,0,4,175,-63, 
-9,-29,-19,19,4,-24,122,268,4,9,170,-58, 
-4,-24,-19,14,7,-21,122,273,9,14,170,-53, 
-4,-19,-14,12,4,-17,112,292,19,14,175,-43, 
0,-14,-14,7,7,-14,112,297,24,14,180,-43, 
0,-9,-9,4,4,-9,112,302,29,19,180,-34, 
0,-4,-4,2,2,-4,112,307,34,29,185,-29, 
4,9,4,-7,0,7,122,326,39,34,190,-14, 
9,14,4,-12,2,9,122,331,48,39,195,-14, 
14,19,4,-17,4,12,122,341,53,39,200,-9, 
24,29,4,-26,9,17,112,346,53,48,204,-4, 
34,29,-4,-31,19,12,112,351,63,53,219,9, 
34,29,-4,-31,19,12,112,351,68,53,224,14, 
39,39,0,-39,19,19,102,356,73,53,229,19, 
