I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-78, -87, -9, 82, -34, -48, -29, -48, -87, -146, -126, -48, 
-78, -87, -9, 82, -34, -48, -29, -48, -87, -146, -126, -48, 
-78, -87, -9, 82, -34, -48, -29, -48, -87, -146, -126, -48, 
-78, -87, -9, 82, -34, -48, -29, -48, -87, -146, -126, -48, 
-87, -97, -9, 92, -39, -53, -24, -43, -78, -131, -117, -39, 
-97, -107, -9, 102, -43, -58, -19, -39, -78, -126, -117, -39, 
-107, -117, -9, 112, -48, -63, -14, -34, -78, -122, -117, -39, 
-117, -126, -9, 122, -53, -68, -9, -29, -78, -117, -117, -39, 
-122, -146, -24, 134, -48, -85, -14, -39, -78, -122, -126, -53, 
-126, -156, -29, 141, -48, -92, -19, -39, -78, -126, -126, -58, 
-131, -165, -34, 148, -48, -100, -24, -39, -78, -131, -126, -63, 
-136, -175, -39, 156, -48, -107, -29, -39, -78, -136, -126, -68, 
-107, -146, -39, 126, -34, -92, -9, -19, -58, -117, -117, -58, 
-87, -117, -29, 102, -29, -73, 0, -9, -48, -107, -107, -48, 
-68, -87, -19, 78, -24, -53, 9, 0, -39, -97, -97, -39, 
-48, -58, -9, 53, -19, -34, 19, 9, -29, -87, -87, -29, 
-58, -63, -4, 61, -26, -34, 24, 24, -14, -87, -82, -24, 
-68, -68, 0, 68, -34, -34, 29, 29, -9, -87, -78, -19, 
-78, -73, 4, 75, -41, -34, 34, 34, -4, -87, -73, -14, 
-87, -78, 9, 82, -48, -34, 39, 39, 0, -87, -68, -9, 
-82, -82, 0, 82, -41, -41, 29, 39, 0, -78, -78, -24, 
-78, -87, -9, 82, -34, -48, 29, 39, 0, -78, -78, -29, 
-73, -92, -19, 82, -26, -56, 29, 39, 0, -78, -78, -34, 
-68, -97, -29, 82, -19, -63, 29, 39, 0, -78, -78, -39, 
-53, -92, -39, 73, -7, -65, 19, 43, 4, -73, -68, -29, 
-48, -87, -39, 68, -4, -63, 19, 48, 9, -68, -68, -29, 
