I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -39, 0, 39, -19, -19, 214, -9, -19, -68, -58, -87, 
-39, -39, 0, 39, -19, -19, 214, -9, -19, -68, -58, -87, 
-39, -39, 0, 39, -19, -19, 214, -9, -19, -68, -58, -87, 
-39, -39, 0, 39, -19, -19, 214, -9, -19, -68, -58, -87, 
-48, -39, 9, 43, -29, -14, 214, -19, -29, -68, -68, -78, 
-48, -39, 9, 43, -29, -14, 214, -19, -29, -68, -68, -78, 
-48, -39, 9, 43, -29, -14, 214, -19, -29, -68, -68, -78, 
-48, -39, 9, 43, -29, -14, 214, -19, -29, -68, -68, -78, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -58, -87, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -58, -87, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -58, -87, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -58, -87, 
-39, -39, 0, 39, -19, -19, 214, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 214, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 214, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 214, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -29, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -29, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -29, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 224, -29, -29, -78, -68, -87, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -87, -68, -97, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -87, -68, -97, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -87, -68, -97, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -87, -68, -97, 
-39, -39, 0, 39, -19, -19, 234, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 234, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 234, -19, -29, -78, -68, -87, 
-39, -39, 0, 39, -19, -19, 234, -19, -29, -78, -68, -87, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -78, -68, -97, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -78, -68, -97, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -78, -68, -97, 
-39, -48, -9, 43, -14, -29, 224, -19, -29, -78, -68, -97, 
-48, -39, 9, 43, -29, -14, 224, -19, -29, -87, -78, -97, 
